"","de-de"
"After","Nach"
"alert delete role","Sind Sie sich sicher, diese Funktion löschen zu wollen?\n\nAufgaben zugeteilt nach {0} werden forsätzlich unter {1}   ""Laufende Projekte "" zu finden sein."
"all","Alle"
"All","Alle"
"All (folder)","Alle Aufgaben "
"All contracts","Alle Gewerke"
"All tasks","Alle Aufgaben "
"All tasks (folder)","Alle Aufgaben"
"All tasks will be deleted","Nicht gesendete Aufgaben und Entwürfe werden gelöscht"
"All users","Alle Benutzer"
"all_users","Alle Benutzer"
"all_users","Alle Benutzer"
"Allow cookies","Cokies akzeptieren(<a href='cookies.htm' target='_blank'>læs mere</a>)"
"Allow create tasks","Aufgaben einrichten erlauben "
"Allow create tasks colleagues","Einrichten von Aufgaben für Kollegen erlaubt"
"Allow create users","Benutzer einrichten erlaubt"
"already created","Existiert bereits"
"already exists","Existiert bereits"
"Altered","Geändert"
"Annotate","Markiere auf dem Foto"
"Anonymous user","Anonymer Benutzer"
"Approve","Freigeben, schließen"
"Approve followup","Freigeben, weiter verfolgen"
"Approved","Freigegeben, geschlossen"
"Approved (date)","Freigegeben"
"Approved (folder)","Freigegebene"
"Approved by","Freigegebene, abgeschlossen von"
"Approved closed (folder)","Freigegebene, abgeschlossene"
"Approved followup","Freigegeben, Nachfolge"
"Approved followup (folder)","Freigegebene, Nachfolge"
"Approved, followup by","Freigegeben, Nachfolge von"
"ApprovedFollowup (folder)","Freigegebene, Nachfolge"
"Architecture (model)","Architekt"
"Archive (folder)","Abgeschlossen"
"Are you sure you want to delete building ""{0}""?","Sind Sie sich sicher das Gebäude löschen zu wollen?"
"Are you sure you want to delete this checklist?","Sind Sie sich sicher die Checkliste löschen zu wollen?"
"Are you sure you want to delete this control plan?","Sind Sie sich sicher diesen Kontrolplan löschen zu wollen?"
"area","Fläche"
"Area (discipline)","Gebiet"
"AreaPlan","Brutto-/Nettogrundrisse"
"arrow","Pfeil"
"Ascending A-Z","Aufsteigend A-Z"
"Assign","Zuteilen"
"Assign to","Zuteilen"
"assigned","Zugeteilt"
"Assigned","Zugeteilt"
"Assigned by","Zugeteilt von"
"Assigned to","Zugeteilt an"
"Assigned to","Zugeteilt an"
"Assigned to {0}","<u>{0}</u> zugeteilt"
"assignee","Zugeteilt"
"Assignee","Zugeteilt"
"Associate checklist","Knüpfe die Checkliste an  "
"Associated checklist","Checklistenanküpfung"
"Association comment","Kommentar zum Anhang"
"Attention to","Z.Hd."
"Auto","Auto"
"Available offline","Zugänglich im Offline-Modus"
"Awaiting approval (folder)","Freigabe abwarten"
"AwaitingApproval (folder)","Freigabe abwarten"
"back","Zurück"
"Back","Zurück"
"Bar","Säule"
"Base data","Stammdaten"
"Before","Bevor"
"BIM object","Gebäudeteil"
"BIM object type","Bauteiltyp"
"bottom right","Rechts unten"
"box","Box"
"Bring to front","Im Vordergrund plazieren"
"Building","Gebäude"
"Building incomplete","Gebäude nicht eindeutig"
"Building is not ready","Das Gebäude ist nicht eindeutig"
"Building name","Gebäudename"
"Building overview","Gebäudeübersicht"
"Building status","Gebäudestatus"
"building updated?","Das Gebäude wurde nicht gefunden. Bitte Zielordner aktualisieren.<br/><br/>Wurde das Zeichenmaterial geändert?"
"building_incomplete","Der Gebäudeaufbau ist unvollständig"
"building_incomplete_text","Das Gebäudemodell wurde kürzlich aktualisiert und wird momentan zur Ansicht vorbereitet. Die Datenanzeige ist deshalb momentan nicht verfügbar"
"building_model_analysing","Das Gebäude wird aktualisiert"
"building_model_not_uploaded","Es wurde bisher kein Gebäudemodell eingerichtet"
"building_model_pending","Aktualisierung des Gebäudes eingeplant."
"building_model_queued_reanalysis","Das Gebäude wird wieder aktualisiert und befindet sich in der Warteschlange"
"building_model_waiting","Aktualisierung des Gebäudes ist in der Warteschlange"
"building_name","Gebäudename"
"building_name","Gebäudename"
"building_name_cannot_be_empty","Gebäudename darf nicht leer sein!"
"building_name_cannot_be_empty","Gebäudename darf nicht leer sein!"
"building_overview","Gebäudeübersicht"
"buildings","Gebäude"
"Buildings","Gebäude"
"by","von"
"Can be approved upon creation","Genehmigungsfähig während der Errichtung"
"Can delete when","Es ist nur möglich, alle Aufgaben zu löschen, wenn weniger als 50 Aufgaben erstellt sind"
"cancel","Annuliere"
"Cancel","Annuliere"
"CANCEL","Annuliere"
"Cancel changes","Änderungen annulieren"
"Cannot remove project owner","Der Projekteigentümer kann nicht entfernt werden"
"Category","Kategorie"
"Caution","Warnung"
"CeilingPlan","Deckenspiegel"
"change","Verändere "
"Change","Verändere "
"Change location","Standort verändern"
"Change to automatic publishing","Zur automatischen Veröffentlichung wechseln"
"Change to manual publishing","Zur manuellen Veröffentlichung wechseln"
"change...","Wechel"
"changed","gewechselt"
"changed from","geändert von"
"changed_by","geändert von"
"changed_from","Geändert von "
"Checklist","Checkliste "
"Checklist association changed","Checklistenanknüpfung geändert"
"Checklist changes will be saved","Checklistenänderung wird gespeichert.\nFortsetzen?"
"Checklist closed","Chekliste abgeschlossen"
"Checklist no.","Kontrollistennummer"
"Checklist report","Kontrollistenbericht"
"Checklist template","Kontrollistenvorlage"
"Checklist template order","Reihenfolge der Cheklistenvorlage"
"Checklists","Kontrollisten"
"Checklists disabled","Kontrollisten deaktiviert"
"Checklists enabled","Kontrollisten aktiviert"
"Choose","Wählen... "
"Choose...","Wählen... "
"city","Stadt"
"City","Stadt"
"City","Stadt"
"Clear","Zurücksetzen"
"Clear annotations","Auswahl zurücksetzen"
"Click on the map to place origo","Auf die Karte klicken um Origo zu plazieren"
"Click to open","Zum Öffnen (hier) klicken"
"Client error","Programmfehler"
"close","Schliessen Sie"
"Close","Schliessen Sie"
"Closed (singular)","Abgeschlossen"
"Color","Farbe"
"Color code","Farbkodierung  "
"Color code changed","Farbkodierung  geändert"
"Combined","Abschliessend"
"Combined report","Abschlussbericht"
"Comment","Kommentar "
"Compact","Kompakt"
"Companies","Firmen"
"company","Firma"
"Company","Firma"
"Company name","Firmaname"
"Complete","Fertigstellen "
"Completed","Fertiggestellt"
"Completed (checklist)","Abgeschlossen"
"Completed (folder)","Bereitgemeldete"
"Completed by","Nachgebessert von"
"Complexity","Komplexität"
"Compressing image","Komprimiere Foto..."
"Compressing image","Komprimiere Foto..."
"Confirm","Bestätigen Sie"
"Confirm delete construction","Sind Sie sich sicher dieses Gewerk löschen zu wollen?"
"confirm delete site","Sind Sie sich sicher diese Baustelle löschen zu wollen?"
"Confirm deletion","Löschen bestätigen"
"Confirm password","Password bestätigen "
"confirm_password","Password bestätigen "
"Confirmation required","Bestätigung erforderlich"
"Connection problems","Verbindungsprobleme"
"Connection problems","Verbindungsprobleme"
"Connection problems","Verbindungsprobleme"
"connection_lost","Verbindungsprobleme"
"connection_lost_text","Keine Internetverbindung"
"construction","Gewerk  "
"Construction","Gewerk  "
"constructions","Gewerk  "
"Constructions","Gewerk  "
"Contact Dalux","Dalux bitte benachrichtigen"
"Contact information","Kontaktinformationen"
"Contact IT Administrators","Nehme Kontakt zu Dalux IT-Administration auf"
"Contains","Enthalten"
"Continue logout","Ausloggen?"
"Contract","Gewerk"
"Contract management","Polier"
"Contractor","Polier "
"Control plan","Kontrollplan"
"Control plan area","Kontrollpunkt"
"Control plans","Kontrollpläne"
"Copy from other project","Aus einem anderen Projekt kopieren"
"copy_link","Link kopieren"
"Correspondence","Korrespondenz"
"Correspondence report","Komprimierter Bericht"
"Correspondence report (filename)","Komprimierter Bericht"
"could not center on gps description","Ausrichten auf den Mittelpunkt im GPS nicht möglich, da ausserhalb der Zeichnung"
"could not center on gps title","Ausrichten auf den Mittelpunkt nicht möglich"
"Could not open attachment","Beigefügte Datei konnte nicht geöffnet werden"
"Could not reach the server","Es konnte keine Verbindung zum Server hergestellt werden. Sind Sie mit dem Internet verbunden?"
"could_not_find_comment","Der Kommentar konnte nicht gefunden werden\n\nNavigiere zur Baustelle."
"Country","Land"
"Craftsman","Handwerker"
"Create","Einrichten"
"Create Construction","Gewerk  einrichten"
"Create demo user","Demo-Benutzer einrichten"
"Create empty checklist","Leere Checkliste einrichten"
"Create empty control plan","Leeren Kontrollplan einrichten"
"Create inspection","Bericht speichern "
"Create new","Neu erstellen"
"Create role","Funktion erstellen"
"Create roles","Funktion erstellen"
"Create send","Erstellen, versenden"
"Create user","Benutzer einrichten"
"Create user","Benutzer einrichten"
"Create user","Benutzer einrichten"
"Create user","Benutzer einrichten"
"Create user","Benutzer einrichten"
"Create user","Benutzer einrichten"
"Create user","Benutzer einrichten"
"create:","Erstellen: {0}"
"created","Erstellen"
"Created","Erstellen"
"Created by","Erstellen von"
"Created by (email)","Erstellt  durch (Email)"
"Created only via checklists","Kan nur durch Checklisten erstelltwerden"
"created_by","Erstellt von   "
"Creates tasks","Erstellt Aufgaben"
"credetials_fail","E-Mail-Adresse oder Kennwort falsch"
"Criteria","Kriterien"
"custom_filter","Benutzerfilter"
"Daily summary","Tägliche Zusammenfassung"
"Dalux administration","Dalux-Administration"
"Dalux daily","Dalux täglich"
"Dashboard","Übersicht"
"Data fields","Datenfelder"
"Data removed from {0} checklists","Werden Änderungen gespeichert, werden<font style=""color:#DD0000"">gelöscht</font> Daten in {0} Kontrolliste."
"Database","Datenbank"
"date","Datum"
"Date","Datum"
"deadline","Frist"
"Deadline","Frist"
"Deadline changed","Frist geändert"
"Default description","Standardbeschreibung"
"Default description","Standardbeschreibung"
"Deficiency","Mangel"
"Delegated to","Ausdeligiert an"
"Delete","Löschen"
"delete","Löschen"
"Delete all","Alles löschen"
"Delete all tasks","Alle Aufgaben löschen"
"Delete building","Gebäude löschen"
"Delete checklist","Checkliste löschen"
"Delete control plan","Kontrollplan löschen"
"Delete draft","Entwurf löschen"
"Delete Draft","Entwurf löschen"
"Delete draft","Entwurf löschen"
"Delete draft (draft)","Entwurf löschen"
"Delete draft (update)","Entwurf löschen"
"Delete draft alternative","Entwurf löschen"
"Delete drawing","Umriss löschen"
"Delete from outbox","Aus dem Ordner ""nicht gesendet"" löschen"
"Delete photo","Bild löschen"
"Delete selection","Markierung entfernen"
"Delete tasks","Aufgaben löschen"
"Delete view","Vorschau löschen"
"Delete x tasks","Aufgaben löschen: {0}x {1}"
"Delete zone","Zone löschen"
"Demo user","Demo-Benutzer "
"Descending Z-A","Absteigend Z-A"
"description","Beschreibung"
"Description","Beschreibung"
"Detail","Detailzeichnungen"
"Detail reports","Detailberichte"
"Detailed","Detailiert"
"Deviation","Abweichung"
"Disabled","Deaktiviert"
"Discard changes","Änderungen löschen"
"Discipline","Aufsichtgebiet"
"Discipline (drawing)","Fachgebiet"
"Discipline already exists","Aufsichtgebiet für dieses Gewerk ist bereits erstellt"
"Disciplines","Aufsichtgebieten"
"Displays","Anzeiger "
"Do you accept the invitation to the project {0}?","Einladung für das Projekt akzeptieren{0}?"
"Do you want to save changes to the draft?","Sollen die Änderungen im Entwurf gespeichert werden?"
"Do you want to save the draft?","Entwurf speichern?"
"document file types","*.pdf"
"Documents","Unterlagen"
"Does not contain","Enthält nicht "
"Done","Beendet"
"Download","Herunterladen"
"Download PDF","PDF herunterladen"
"Downloading checklist...","Checkliste herunterladen"
"Downloading report...","Bericht herunterladen"
"Downloading task {0} of {1}","Aufgabe herunterladen {0} af {1}"
"Draft","Entwurf"
"Draft early version, change location","<center>OBS!<br/><br/>Der Entwurf ist erstellt in einer früheren Version von Dalux Field. Der Standort muss aktualisiert werden.<br/><br/>Bitte aktualisieren Sie Ihre mobile Anwendung (Mobil-app) kontinuierlich.</center>"
"Drafts","Entwurf"
"Drawing","Zeichnung"
"Drawing information","Information zur Zeichnung"
"Drawing updated {0}","Zeichnung aktualisiert {0}"
"Drawing with tasks","Zeichnung mit Aufgaben"
"Drawings","Zeichnungen"
"dRofus integration","dRofus-integrierung"
"Copy row","Reihe kopieren"
"Economy","Ökonomie"
"Economy changed","Geänderte Ökonomie"
"edit","Ändere"
"Edit","Ändere"
"Edit building","Gebäude ändern"
"Edit building model file","Gebäudemodel ändern"
"Edit persons","Personen ändern"
"Edit photo","Fotos ändern"
"Edit project data","Projektdaten ändern"
"Edit properties","Eigenschaften ändern"
"Edit role","Rolle ändern"
"Edit site data","Ändere Baustelledaten"
"Edit user","Benutzer ändern"
"Edit zone","Zone ändern"
"Edit zones","Zonen ändern"
"Edit contract","Gewerk ändern"
"element updated?","Das Gebäudeteil wurde nicht gefunden. Umgebung muss reaktualisiert werden.<br/><br/>Wurde das Zeichenmaterial verändert?"
"element_properties","Eigenschaften"
"Elevation","Höhe"
"Elevation lower","Kote, untere"
"Elevation upper","Kote, obere"
"ellipse","Ellipse"
"email","E-Mail"
"Email","E-Mail"
"Email for new tasks","E-Mail bei neuen Aufgaben"
"Email log","E-Mail-log"
"Email settings","E-Mail-Setup"
"Email settings (ribbon)","E-Mail-Setup"
"Email with daily summary","E-Mail mit täglicher Zusammenfassung"
"email:","E-Mail"
"empty_list","Die Liste ist leer"
"Enable","Anwende"
"Enable checklists","Checklisten einschalten"
"Enable photos","Fotos anwenden"
"Enabled","Aktivieren "
"EngineeringPlan","Ingenieurbaupläne"
"Enter discpline","Überwachungsbereich eingeben"
"Enter title","Titel eingeben"
"enterprise","Firma"
"Entire list","Die gesamte Liste"
"Equals","Gleich"
"error","Fehler"
"Error","Fehler"
"Error","Fehler"
"Error downloading offline data","Daten können nicht abgerufen werden"
"Excel","Excel"
"Excel and locations","Excel und deren Standorte"
"Excel and locations","Excel und deren Standorte"
"Existing","Vorhanden"
"existing","Vorhanden"
"existing task restricted to {0}","Vorhande Aufgabe: begrenzt auf '{0}'"
"Export","Export"
"Export all","Exportiert alles"
"Export failed","Export konnte nicht durchgeführt werden"
"Export overview","Exportiere die Zusammenfassung"
"Fictive user","Fiktiver Benutzer"
"Field definition","Felddefinition"
"Field type","Feldtyp"
"Fields","Felder"
"File","Datei"
"File could not be downloaded","Die Datei konnte nicht gefunden werden"
"File to upload","Datei hochladen"
"Filename","Dateiname"
"Files","Dateien "
"Files to upload","Dateien hochladen"
"Fill in","Ausfüllen"
"Filters","Filter"
"find","Finden"
"First levels","Erste"
"First name","Vorname"
"first_name","Vorname"
"Floor","Etage"
"Floor name","Etagename"
"Floor plan","Grundriss"
"Floor plans","Grundrisse"
"Floor properties","Eigenschaften der Etage"
"floor updated?","Der Grundriss wurde nicht gefunden. Der Standort muss aktualisiert werden.<br/> Sind die Zeichnungen geändert worden?"
"floor_name","Etagenname"
"Floorplan","Grundriss-plan"
"FloorPlan","Grundriss-plan"
"floorplans","Grundriss-pläne"
"Floorplans","Grundriss-pläne"
"floors","Grundrisse"
"Floors","Grundrisse"
"flow_configuration","Ablaus anwenden"
"flow_configuration_definition","Definition, Ablauf:"
"Folder","Ordner"
"Folder tools","Ordnertools"
"Foreman","Vorsitzende "
"found","gefunden"
"From camera","Von der Kamera"
"From drawing","Aus der Zeichnung"
"From gallery","Von der Gallerie"
"General problem","Genereller Fehler"
"Generate report","Erstellt umfassenden Bericht "
"Generating document","Erstellt Dokument"
"Generating picture","Erstellt Bilder"
"Generating report","Erstellt Bericht"
"Generating report {0}","Erstellt Bericht  {0}"
"Get Revit plug-in","Hole Revit plug-in"
"GIS location","GIS-Plazierung"
"GIS placement not chosen","Baustelle ist nicht im GIS plaziert"
"Go to location","Zeige Ort"
"gps accuracy timeout description","Es konnte nicht auf GPS angeschlossen werden. Überprüfe, ob das GPS-Modus auf dem Mobilgerät aktiviert ist, und desweiteren, ob GPS Signale empfangen werden."
"gps accuracy timeout title","GPS"
"gps accuracy too coarse description","Die Genauigkeit des GPS ist zu ungenau (über 40 Meter), um angezeigt werden zu können"
"gps accuracy too coarse title","GPS"
"gps not enabled description","Es konnte nicht auf GPS angeschlossen werden. Überprüfe, ob das GPS-Modus auf dem Mobilgerät aktiviert ist."
"gps not enabled title","GPS"
"Greater than","Grösser als"
"Greater than equals","Grösser oder gleich wie"
"Green","Grün"
"Grid","Gitterraster"
"Header","Kopfzeile"
"height","Höhe  "
"Help text","Hilfetext"
"Home","Zuhause"
"ID","Idendifikation"
"images","Bilder"
"Images","Bilder"
"Import","Importiere"
"Import complete","Die Projekteinríchtung wurde importiert"
"Import from","Importiert von"
"Import from file","Importiert von Datei"
"Import from filesystem","Importiert von Dateisystem"
"Import from projects","Importiert aus Projekten"
"Inactive user","Inaktiver Benutzer"
"Inbox","Posteingang"
"Inbox (folder)","Posteingang"
"Include signing field","Berichterstattungsfeld mitnehmen"
"Info","Info "
"info 500+ options","Es gibt mehr als 2000 einzigartige Möglichkeiten.\nBenutze den Suchfilter weiter unten."
"info add building name","Der Gebäudename darf nicht leer sein!"
"info admin edits work description","Nur ein Administrator kann die Arbeitsbeschreibung bearbeiten.\n Wer Administrator ist, siehe unter Benutzer, unter Projekteinrichtung."
"info another user created this task","Ein anderer Benutzer hat diese Aufgabe erstellt. Nur Dieser kann die Aufgabe sehen und bearbeiten."
"info app update","Update Dalux Feld<br/><br/>Denken Sie bitte daran, noch nicht gesendete Daten vor der Aktualisierung zu synchronisieren"
"info batch deny assign wd","Es ist nur möglich, mehrere Aufgaben auf einmal zuzuordnen, wenn Diese in der gleichen Gegend positioniert sind und aus gleichem LV stammen.\n\nBegrenze Markierung. U.U die Spalten Aufsicht und LV auswählen, falls diese benutzt werden."
"info batch deny reply","Es ist nur möglich {0}, mehrere Aufgaben gleichzeitig zu machen , solange die ausgewählten Aufgaben von Ihnen geändert werden können. \n\nHaben Sie Schreibzugriff für alle Aufgaben?\nSind Sie in der richtigen Mappendatei? \n\nDeaktivieren Sie Aufgaben, die Sie nicht mehr länger ändern können."
"info building incomplete","Das Gebäudemodell wurde kürzlich aktualisiert und wird derzeit für die Anzeige vorbereitet. Eine Ansicht ist momentan daher nicht verfügbar."
"info building queued analysis","Das Gebäude wird aktualisiert. Später nochmals versuchen."
"info building update failed","Update fehlgeschlagen. Dalux bitte benachrichtigen"
"info building updating 3d","Zeichendaten werden aktualisiert. Später nochmals probieren."
"info cannot edit work description","LV-Beschreibung kann nur geändert werden, wenn dessen Vorgestetzter keine LV-Beschreibung besitzt. Ausschliesslich Administratoren können Änderungen für sich selbst ausführen."
"info checklist conflict","<p align=""center"">Kontrolliste ist geändert worden von anderer Seite.<br/>Die Änderungen werden drch Speichern überschrieben.<br/><br/><b> Klicken Sie auf, um Änderungen zu sehen</b></p>"
"info checklist not sent retry","Die Chekliste wurde  auf dem Server nicht gespeichert.<br/><br/>Bitte speichern um erneut zu probieren. "
"info checklist offline","Diese Checkliste ist im Offline-Modus nicht zugänglich. "
"info commit checklist first","<P ALIGN=""center"">Foto konnte der Chekliste nicht zugeknüpft werden.<br />Upload Checkliste oder Foto löschen.</P>"
"info company has users","Nicht möglich eine Firma mit Benutzern zu entfernen"
"info connection lost","Es besteht keine Internetverbindung"
"info contract uses company","Das Unternehmen beinhaltet mehrere Gewerke"
"info credetials fail","Benutzername und Code konnte nicht überprüft werden"
"info demo site","Dies ist ein Demo-Projekt. Folglich ist ein redigieren in BIM nicht möglich."
"info document ready","Das Dokument ist fertig"
"info document ready download","Das Dokument ist fertig. Herunterladen?"
"info email not validated","E-Mailadressen bisher nicht bestätigt"
"info empty list","Liste ist leer"
"info field missing","{0}' fehlt"
"info image load failed","Bild konnte nicht geladen werden"
"info invalid email","Ungültige E-Mailadresse"
"info invalid password","Der Zugangskode soll aus mindestens 6 Zeichen bestehen"
"info invalid roleworkdescription delete","Es ist nicht möglich Arbeitsbeschreibungen (LV)zu entfernen, die im Gebrauch sind."
"info invited","<p align=""center"">Einladung zu dem Projekt '{0}'</p>"
"info isnan {0}","Der eingegebene Wert für '{0}' ist kein Zahlenwert. "
"info logged in","Erfolgreich eingeloggt"
"info logged out","Erfolgreich ausgeloggt"
"info mail sent {0}","Eine E-Mail wurde an die Adresse '{0}' geschickt"
"info must select assignee","Ein Verantwortlicher soll genannt werden"
"info must update task","Internetverbindung ist Vorraussetzung um diese Aufgabe zu senden"
"info new user added mail sent","Es wurde eine Begrüssungsmail versandt.\n\nBenutzer wird aktiviert, wenn sowhl E-Mailadresse bekräftet wird via Link in der Begrüssungsmail als auch der Benutzer im System aufgerichtet wurde."
"info no bim","Keine Zeichnungen vorhanden. Herunterladen, unter Projekteinrichtung."
"info no company selected","Sie haben keine Firma gewählt"
"info no creator role","<p align=""center"">Projekteinstellung ist geändert.<br/>Sie haben nicht mehr das Recht, Aufgaben zu erstellen</p>"
"info no delete company","Unternehmen kann nicht entfernt werden, solange Benutzer mit Diesem verknüpt sind.\n\nEntferne die Benutzer der Firma zuerst."
"info no delete role","Nicht möglich eine Funktion zu löschen, die einen Untergeordneten hat. \n\nFalls es sich um eine neue Person handelt, die die alte erstetzten soll, ist die nicht die Rolle zu löschen, sondern die Person zu ersetzen."
"info no delete user organisation","Benutzer kann nicht entfernt werden, da Dieser ein Teil der Organisation darstellt.\n\nEntfernung des Benutzers von der Organisation zuerst."
"info no delete user substitute","Der Benutzer kann nicht entfernt werden, wenn Dieser Stellvertreter ist für: {0} ({1})\n\nEntferne den Benutzer von der Organisation zuerst."
"info no discipline","Eingabe des Aufichtsgebietes notwendig"
"info no permission","Sie sind nicht berechtigt, hier zu ändern."
"info no title","Ein Titel soll eingegeben werden"
"info no update role","<p align = ""center""> Der Bericht wurde geändert. <br/> An diesem Bericht kann nicht mehr aktualisiert werden. <br/>Wurde der Fall abgeschlossen oder verändert? </ P>"
"info none selected","Es wurden keine Aufgaben gewählt"
"info non-existing assignee role","<p align=""center"">Die Projekteinstellung ist verändert<br/>Die Aufgabe kan nicht länger der Person zugeordnet werden.</p>"
"info non-existing assignee wd","<p align=""center"">Die Projekteinstellung ist verändert<br/>Die Aufgabe kan nicht länger der Person zugeordnet werden.</p>"
"info non-existing role","<p align=""center"">Die Projekteinstellung ist verändert<br/>Ihre angegebe Rolle gibt Ihnen nicht das Recht die Aufgabe abzuändern</p>"
"info non-existing substitute","<p align=""center"">Die Projekeinstellung ist verändert<br/>Ihre angegebe Rolle gibt Ihnen nicht mehr das Recht die Aufgabe abzuändern</p>"
"info not self superior","Es ist nicht möglich sein eigener Vorgesetzter zu sein."
"info offline finding location","Verwendet nächst verfügbaren Ort"
"info offline minimodel","Offline<br/>Es besteht keine Internetverbindung und das Minimodel ist im Offline-Modus nicht verfügbar."
"info offline minimodel frame","Offline<br/>Es besteht keine Internetverbindung und dieser Winkel ist im Offline-Modus nicht verfügbar. "
"info offline new visit 2d","Es besteht keine Internetverbindung und Grundpläne sind im Offline-Modus nicht verfügbar. "
"info offline new visit 3d","Es besteht keine Internetverbindung und es sind keine Orte zugänglich auf dieser Etage."
"info open draft","<p align=""center"">Entwurf<br/><b>Klikken Sie um den Rapport zu zeigen</b><br/></p>"
"info password no match","Zugangskodes sind nicht gleich"
"info picture ready","Bild holen"
"info picture ready download","Das Bild ist klar zum herunterladen"
"info preview only","Kein Systemzugang für Demo-Benutzer"
"info processing 3d","Anzeige wird aktualisiert. Später nochmal versuchen."
"info program error","<p align=""center"">Ein Programfehler ist entstanden<br/>Bitte Dalux benachrichtigen (support@dalux.com)</p>"
"info project setting error","<p align=""center"">Unvorhergesehene Projekteinrichtung<br/>Bitte Dalux benachrichtigen(support@dalux.com)</p>"
"info remove company","Sind Sie sicher, dieses Unternehmen löschen zu wollen?"
"info remove self","Sie sind dabei sich selber im Projekt zu löschen.\n\nFortsetzen? "
"info remove work description","Seien Sie sich bewusst, dass die mit dieser LV-Beschreibung erstellte Aufgaben nicht mehr auf der Grundlage dieser Eigenschaft gruppiert werden kann. \nBenutzer die dem LV zugeordnet sind, werden automatisch aus dem LV entfernt..\n\nFortsetzen?"
"info report has update in folder","<p align=""center"">Notiere!<br/>Esgibt es ein Update im Aufgabenordner {0}</p>"
"info report has updates in folder","<p align=""center"">Notieren Sie!<br/>Esgibt es Updates im Aufgabenordner {0}</p> "
"info report has updates in folders","<p align=""center"">Notiere!<br/>Es gibt es Updates im Aufgabenordner {0}</p>"
"info report ready","Der Bericht ist fertig"
"info report ready download","Der Bericht ist fertig. Herunterladen?"
"info role name not empty","Funktionsname angeben"
"info server error","Es ist ein Fehler auf dem Server entstanden"
"info site manager change","Sollten Sie sich selbst als Bauleiter austauschen, werden Sie keine Benutzer mehr sehen.\n\nDiese Handlung kann nicht rückgängig gemacht werden!"
"info synchronizing no open","Nicht verschickte Mitteilungen werden gesendet. Eingaben können nicht gleichzeitig angezeigt werden."
"info task altered","<p align=""center"">Aufgabe wurde geändert<br/>Das Update wurde nicht gesendet.<br/><b>Klikke um die Aufgabe zu öffnen</b></p>"
"info task not available","<P ALIGN=""center"">Der Bericht ist nicht zugänglich</P>"
"info task offline","<P ALIGN=""center"">Dieser Bericht ist nicht zugänglich</P>"
"info task sent update checklist","Die Aufgabe ist an den Server gesandt. Aktualisieren Sie die Checkliste, um den resultierenden Bericht zu öffnen."
"info too many tasks","Auf diesem Gebiet: {0} Aufgaben"
"info unhandled error","Es ist ein unerwarteter Fehler entstanden."
"info user added mail sent","Der Benutzer ist nun hinzugefügt und hat eine Begrüssungsmai geschickt.\n\nDer Benutzer wird aktiviert, sobalddie E-Mail-Adresse via den Link in der Begrüssungsmail bestätigt worden ist."
"info user invitation accepted","Benutzer ist erstellt und die Einladung ist akzeptiert "
