"source"	"target"
"changed_from"	"modificado de"
"Checklist"	"Checklists"
"Checklist association changed"	"Checklist association changed"
"Checklist changes will be saved"	"Mudanуas na checklist serсo salvar.nContinuar?"
"Checklist closed"	"Checklist fechada"
"Checklist no."	"Checklist nr."
"Checklist report"	"Relatзrio da checklist"
"Checklist template"	"Template da checklist"
"Checklist template order"	"Ordem do template da checklist"
"Checklists"	"Checklists"
"Checklists disabled"	"Checklists desabilitadas"
"Checklists enabled"	"Checklistas habilitadas"
"Choose"	"Selecionar"
"Choose..."	"Selecionar..."
"city"	"Cidade"
"City"	"Cidade"
"City"	"Cidade"
"Clear"	"Limpar"
"Clear annotations"	"Limpar anotaушes"
"Click on the map to place origo"	"Clique no mapa para localizar origem"
"Click to open"	"Clique para abrir"
"Client error"	"Client error"
"close"	"Fechar"
"Close"	"Fechar"
"Closed (singular)"	"Completo"
"Color"	"Colorir"
"Color code"	"Colorir cзdigo"
"Color code changed"	"Cor do cзdigo modificada"
"Combined"	"Combinado"
"Combined report"	"Relatзrio combinado"
"Comment"	"Comentрrio"
"Compact"	"Compactar"
"Companies"	"Empresas"
"company"	"Empresa"
"Company"	"Empresa"
"Company name"	"Nome da empresa"
"Complete"	"Pronto"
"Completed"	"Relatado como pronto"
"Completed (checklist)"	"Completo"
"Completed (folder)"	"Relatado como pronto"
"Completed by"	"Retificado por"
"Complexity"	"Complexidade"
"Compressing image"	"Comprimindo imagem..."
"Compressing image"	"Comprimindo imagem"
"Confirm"	"Confirmar"
"Confirm delete construction"	"Tem certeza de que deseja deletar este contrato?"
"confirm delete site"	"Tem certeza de que deseja deletar este local?"
"Confirm deletion"	"Confirm deletion"
"Confirm password"	"Confirmar senha"
"confirm_password"	"Confirmar senha"
"Confirmation required"	"Necessita de confirmaусo"
"Connection problems"	"Problemas de conexão"
"Connection problems"	"Problemas de conexãonnTente novamente..."
"Connection problems"	"Problemas de conexсonnTente novamente..."
"connection_lost"	"Problemas de conexсo"
"connection_lost_text"	"Sem conexсo com a internet"
"construction"	"Contrato"
"Construction"	"Contrato"
"constructions"	"Contratos"
"Constructions"	"Contratos"
"Contact Dalux"	"Contact Dalux"
"Contact information"	"Informaусo de contrato"
"Contact IT Administrators"	"Contact IT Administrator"
"Contains"	"Contains"
"Continue logout"	"Sair?"
"Contract"	"Contrato"
"Contract management"	"Gerenciamento do contrato"
"Contractor"	"Empreiteiro"
"Control plan"	"Inspection plan"
"Control plan area"	"Inspection plan area"
"Control plans"	"Inspection plans"
"Copy from other project"	"Copiar de outro empreendimento"
"copy_link"	"Copiar link"
"Correspondence"	"CorrespondЖncia"
"Correspondence report"	"Relatзrio resumido"
"Correspondence report (filename)"	"Relatзrio resumido"
"could not center on gps description"	"Nсo pЗde centrar na localizaусo. A posiусo do GPS estр fora da рrea de desenho."
"could not center on gps title"	"Posiусo do GPS muito longe"
"Could not open attachment"	"Could not open attachment no. {0}.nIs the file broken?"
"Could not reach the server"	"Could not reach the server. Are you connected to the internet?"
"could_not_find_comment"	"Nсo pЗde encontrar o comentрrio especificado no link.nn Redirecionando para locais do usuрrio."
"Country"	"Paьs"
"Craftsman"	"Artesсo"
"Create"	"Criar"
"Create Construction"	"Criar contrato"
"Create demo user"	"Criar usuрrio demo"
"Create empty checklist"	"Criar checklist vazia"
"Create empty control plan"	"Create empty inspection plan"
"Create inspection"	"Salvar relatзrio"
"Create new"	"Criar novo"
"Create role"	"Criar funусo"
"Create roles"	"Criar funушes"
"Create send"	"Criar, enviar"
"Create user"	"Criar usuário"
"Create user"	"Criar usuário"
"Create user"	"Criar usuário"
"Create user"	"Criar usuário"
"Create user"	"Criar usuário"
"Create user"	"Criar usuário"
"Create user"	"Criar usuрrio"
"create:"	"Criar: {0}"
"created"	"Criado"
"Created"	"Criado"
"Created by"	"Criado por"
"Created by (email)"	"Criado por (e-mail)"
"Created only via checklists"	"Criado somente via checklists"
"created_by"	"Criado por"
"Creates tasks"	"Cria tarefas"
"credetials_fail"	"Credenciais do usuрrio nсo correspondem"
"Criteria"	"Criteria"
"custom_filter"	"Customizar filtro"
"Daily summary"	"Resumo diрrio"
"Dalux administration"	"Dalux administration"
"Dalux daily"	"Dalux Diрrio"
"Dashboard"	"Dashboard"
"Data fields"	"Campos de dados"
"Data removed from {0} checklists"	"Salvar as mudanуas irр <font style=""color:#DD0000"">deletar</font> dados de {0} checklists."
"Database"	"Database"
"date"	"Data"
"Date"	"Data"
"dateformat"	"d MMM yyyy, h:mm tt"
"dateformat_air"	"d MMM yyyy, HH:mm"
"dateformat_air_checklist"	"d MMM yyyy, h:mm"
"dateformat_deadline"	"d MMM yyyy"
"dateformat_short"	"d MMM"
"dateformatDayYear"	"d MMMM yyyy"
"deadline"	"Deadline"
"Deadline"	"Deadline"
"Deadline changed"	"Deadline modificada"
"Default description"	"Descrição default"
"Default description"	"Descriусo default"
"Deficiency"	"Deficiency"
"Delegated to"	"Delegar a"
"Delete"	"Deletar"
"delete"	"Deletar"
"Delete all"	"Delete all"
"Delete all tasks"	"Delete all tasks"
"Delete building"	"Delete building"
"Delete checklist"	"Delete checklist"
"Delete control plan"	"Delete inspection plan"
"Delete draft"	"Deletar rascunho"
"Delete Draft"	"Deletar rascunho"
"Delete draft"	"Deletar rascunho"
"Delete draft (draft)"	"Deletar rascunho"
"Delete draft (update)"	"Deletar rascunho"
"Delete draft alternative"	"Deletar rascunho"
"Delete drawing"	"Deletar desenho"
"Delete from outbox"	"Deletar da caixa de saьda"
"Delete photo"	"Deletar foto"
"Delete selection"	"Deletar seleусo"
"Delete tasks"	"Delete tasks"
"Delete view"	"Delete view"
"Delete x tasks"	"Delete tasks: {0}x {1}"
"Delete zone"	"Delete zone"
"Demo user"	"Demo user"
"Descending Z-A"	"Descending Z-A"
"description"	"Descriусo"
"Description"	"Descriусo"
"Detail"	"Detail"
"Detail reports"	"Detalhar relatзrios"
"Detailed"	"Detalhado"
"Deviation"	"Deviation"
"DF"	"DF"
"Disabled"	"Disabled"
"Discard changes"	"Discard changes"
"Discipline"	"Disciplina"
"Discipline (drawing)"	"Discipline"
"Discipline already exists"	"A disciplina jр existe para este contrato"
"Disciplines"	"Disciplinas"
"Displays"	"Exibiушes"
"Do you accept the invitation to the project {0}?"	"Do you accept the invitation to the project {0}?"
"Do you want to save changes to the draft?"	"Do you want to save changes to the draft?"
"Do you want to save the draft?"	"Do you want to save the draft?"
"document file types"	"*.pdf"
"Documents"	"Documentos"
"Does not contain"	"Does not contain"
"Done"	"Feito"
"Download"	"Download"
"Download PDF"	"Baixar PDF"
"Downloading checklist..."	"Baixando checklist..."
"Downloading report..."	"Baixando relatзrio..."
"Downloading task {0} of {1}"	"Baixando tarefa {0} de {1}"
"Draft"	"Rascunho"
"Draft early version, change location"	"<center>NB!<br/><br/>O rascunho foi criado com uma versсo anterior do Campo DaluxQA. Atualizar a localizaусo.<br/><br/>Lembrar de manter o Campo DaluxQA para mobil atualizado</center>"
"Drafts"	"Rascunhos"
"Drawing"	"Desenho"
"Drawing information"	"Drawing information"
"Drawing updated {0}"	"Drawing updated {0}"
"Drawing with tasks"	"Desenho com tarefas"
"Drawings"	"Drawings"
"dRofus integration"	"dRofus integration"
"Copy row"	"Copy row"
"Duplicate"	"Duplicate"
"DUT_MILLIMETERS"	"mm"
"DUT_SQUARE_METERS"	"m²"
"DV"	"DV"
"Economy"	"Economia"
"Economy changed"	"Economia modificada"
"edit"	"Editar"
"Edit"	"Editar"
"Edit building"	"Edit building"
"Edit building model file"	"Editar arquivo do modelo do edifьcio"
"Edit persons"	"Editar pessoas"
"Edit photo"	"Editar foto"
"Edit project data"	"Edit project data"
"Edit properties"	"Editar propriedades"
"Edit role"	"Editar funусo"
"Edit site data"	"Editar dados do local"
"Edit user"	"Editar usuрrio"
"Edit zone"	"Edit zone"
"Edit zones"	"Edit zones"
"Edit contract"	"Editar contrato"
"element updated?"	"Parte do edifьcio nсo encontrada. Reposicionamento requisitado. O material de desenho foi atualizado?"
"element_properties"	"Propriedades"
"Elevation"	"Elevaусo"
"Elevation lower"	"Elevaусo, inferior"
"Elevation upper"	"Elevaусo, superior"
"ellipse"	"Elipse"
"email"	"E-mail"
"Email"	"E-mail"
"Email for new tasks"	"E-mail para novas tarefas"
"Email log"	"E-mail log"
"Email settings"	"Configuraушes de mensagem"
"Email settings (ribbon)"	"Configuraушes de mensagem"
"Email with daily summary"	"E-mail com resumo diрrio"
"email:"	"E-mail:"
"empty_list"	"A lista estр vazia"
"Enable"	"Habilitar"
"Enable checklists"	"Habilitar checklists"
"Enable photos"	"Habilitar fotos"
"Enabled"	"Enabled"
"EngineeringPlan"	"Engineering plans"
"Enter discpline"	"Inserir disciplina"
"Enter title"	"Inserir tьtulo"
"enterprise"	"Empreendimento"
"Entire list"	"Lista inteira"
"Equals"	"Equals"
"error"	"Erro"
"Error"	"Erro"
"Error"	"Erro"
"Error downloading offline data"	"Erro ao baixar dados"
"Excel"	"Excel"
"Excel and locations"	"Excel e localizações"
"Excel and locations"	"Excel e localizaушes"
"Existing"	"Existente"
"existing"	"Existente"
"existing task restricted to {0}"	"Tarefas existente: Restrita a '{0}'"
"Export"	"Exportar"
"Export all"	"Exportar tudo"
"Export failed"	"Exportaусo falhou"
"Export overview"	"Exportar visсo geral"
"Fictive user"	"Usuрrio fictьcio"
"Field definition"	"Definiусo de campo"
"Field type"	"Tipo de campo"
"Fields"	"Campos"
"File"	"Arquivo"
"File could not be downloaded"	"Arquivo nсo pЗde ser baixado"
"File to upload"	"Arquivo para subir"
"Filename"	"Filename"
"Files"	"Arquivos"
"Files to upload"	"Arquivo para subir"
"Fill in"	"Preencher"
"Filters"	"Filtros"
"find"	"Localizar"
"First levels"	"Primeiro"
"First name"	"Primeiro nome"
"first_name"	"Primeiro nome"
"Floor"	"Pavimento"
"Floor name"	"Nome do pavimento"
"Floor plan"	"Pavimento"
"Floor plans"	"Pavimentos"
"Floor properties"	"Propriedades do pavimento"
"floor updated?"	"Planta do pavimento nсo encontrada. Reposicionamento requisitado. O material de desenho foi atualizado?"
"floor_name"	"Nome do pavimento"
"Floorplan"	"Planta do pavimento"
"FloorPlan"	"Floor plans"
"floorplans"	"Plantas do pavimento"
"Floorplans"	"Plantas do pavimento"
"floors"	"Plantas"
"Floors"	"Plantas"
"flow_configuration"	"Configuraусo do fluxo"
"flow_configuration_definition"	"Definiусo da configuraусo do fluxo:"
"Folder"	"Pasta"
"Folder tools"	"Ferramentas da pasta"
"Foreman"	"Mestre de obras"
"found"	"localizado"
"From camera"	"da cРmera"
"From drawing"	"do desenho"
"From gallery"	"da galeria"
"General problem"	"General problem"
"Generate report"	"Gerar relatзrio"
"Generating document"	"Gerando documento"
"Generating picture"	"Gerando imagem"
"Generating report"	"Gerando relatзrio..."
"Generating report {0}"	"Gerando relatзrio {0}"
"Get Revit plug-in"	"Get Revit plug-in"
"GIS location"	"Localizaусo do GIS"
"GIS placement not chosen"	"Localizaусo do GIS nсo escolhida"
"Go to location"	"Mostrar localizaусo"
"gps accuracy timeout description"	"Nсo pЗde ativar GPS. Verifique as configuraушes do dispositivo para se certificar de que o GPS estр habilitado e o sinal ok."
"gps accuracy timeout title"	"GPS"
"gps accuracy too coarse description"	"Precisсo do GPS baixa (40 metros+)"
"gps accuracy too coarse title"	"GPS"
"gps not enabled description"	"Nсo pЗde ativar GPS. Verifique as configuraушes do dispositivo para se certificar de que o GPS estр habilitado."
"gps not enabled title"	"GPS"
"Greater than"	"Greater than"
"Greater than equals"	"Greater than equals"
"Green"	"Verde"
"Grid"	"Grid"
"Header"	"Cabeуalho"
"height"	"Altura"
"Help text"	"Texto de ajuda"
"Home"	"Home"
"i_accept"	"Aceito usar este serviуo grрtis &quot;como&quot;"
"ID"	"ID"
"image file types"	"*.gif;*.png;*.jpg;*.jpeg"
"images"	"Imagens"
"Images"	"Imagens"
"Import"	"Importar"
"Import complete"	"The project setting import was successfull"
"Import from"	"Importar do"
"Import from file"	"Importar do arquivo"
"Import from filesystem"	"Importar do sistema de arquivo"
"Import from projects"	"Importar de empreendimentos"
"Inactive user"	"Usuрrio inativo"
"Inbox"	"Caixa de entrada"
"Inbox (folder)"	"Caixa de entrada"
"Include signing field"	"Include attachments"
"Include attachments"	"Include attachments"
"Include tasks"	"Include tasks"
"Info"	"Informaусo"
"info 500+ options"	"Hр mais de 2000 opушes Щnicas.nUsar o filtro de busca abaixo."
"info add building name"	"O nome do edifьcio nсo pode ficar vazio!"
"info admin edits work description"	"Sз administradores podem editar as descriушes de trabalho.nAdministradores estсo listados em Usuрrios (abaixo de Configuraушes no menu Я esquerda)."
"info another user created this task"	"Outro usuрrio criou estar tarefa. Sз esse usuрrio pode visualizar ou editar a tarefa."
"info app update"	"Atualizar Campo DaluxQA<br/><br/>Lembrar de sincronizar dados nсo enviados antes de atualizar"
"info batch deny assign wd"	"Sз ж possьvel atribuir tarefas mЩltiplas de uma vez quando todas as tarefas estсo na mesma рrea e descriусo de trabalho.nnLimite a seleусo. Talvez vocЖ queira aplicar um filtro nas colunas Supervisсo e Descriусo de Trabalho"
"info batch deny reply"	"Sз sсo possьveis {0} tarefas mЩltiplas de uma vez desde que as tarefas selecionadas possam ser modificadas por vocЖ. nnVocЖ tem permissшes de escrita para as tarefas selecionadas?nSelecionou a pasta certa?nnRemover seleусo de tarefas que vocЖ nсo pode mais modificar."
"info building incomplete"	"O edifьcio foi atualizado recentemente e estр sendo preparado para ser exibido no dispositivo mзvel. O edifьcio estр temporariamente indisponьvel"
"info building queued analysis"	"O edifьcio estр sendo atualizado. Tente novamente mais tarde."
"info building update failed"	"A atualizaусo do edifьcio falhou. Contate Dalux."
"info building updating 3d"	"Os desenhos estсo sendo atualizados. Tente novamente mais tarde."
"info cannot edit work description"	"A descriусo de trabalho sз pode ser usada se o atual superior da funусo nсo tem nenhuma descriусo de trabalho. Apenas administradores podem alterar descriушes de trabalho para eles mesmos."
"info checklist conflict"	"<p align=""center"">Checklist foi modificada em outro lugar.<br/>As mudanуas serсo sobrescritas ao clicar em salvar.<br/><br/><b>.Clique para mostrar mudanуas</b></p>"
"info checklist not sent retry"	"A checklist nсo foi salva.<br/><br/>Clique em salvar para tentar novamente."
"info checklist offline"	"A checklist nсo estр disponьvel offline"
"info commit checklist first"	"<P ALIGN=""center"">Checklist associada nсo encontrada.<br/>Subir checklist ou deletar foto.</P>"
"info company has users"	"Cannot remove a company having users"
"info connection lost"	"Sem conexсo com a internet"
"info contract uses company"	"Company with one or more contracts"
"info credetials fail"	"Credenciais do usuрrio nсo correspondem"
"info demo site"	"Este ж um projeto demo. VocЖ nсo tem permissсo para editar configuraушes de BIM."
"info document ready"	"O documento estр pronto."
"info document ready download"	"O documento estр pronto. Baixar?"
"info email not validated"	"O endereуo de e-mail nсo foi confirmado."
"info empty list"	"A lista estр vazia"
"info field missing"	"'{0}'faltando"
"info image load failed"	"Carregamento da imagem falhou"
"info invalid email"	"O endereуo de e-mail que vocЖ inseriu nсo ж vрlido."
"info invalid password"	"A senha deve ter pelo menos 6 caracteres."
"info invalid roleworkdescription delete"	"Nсo ж possьvel remover descriушes de trabalho em uso."
"info invited"	"<p align=ћcenterћ>Convite para projeto '{0}'</p>"
"info isnan {0}"	"Valor especificado para '{0}'nсo ж um nЩmero"
"info logged in"	"VocЖ estр logado"
"info logged out"	"VocЖ foi deslogado"
"info mail sent {0}"	"Um e-mail foi enviado para '{0}'"
"info must select assignee"	"Um responsрvel deve ser selecionado."
"info must update task"	"╔ necessрria conexсo Я internet para atualizar esta tarefa."
"info new user added mail sent"	"Uma mensagem de convite foi enviada ao endereуo de e-mail especificado.nnO usuрrio serр ativado quando o e-mail for confirmado pelo link na mensagem de convite e o usuрrio for confirmado."
"info no bim"	"Sem BIM, CAD ou PDF's. Fazer Upload a partir das Configuraушes."
"info no company selected"	"VocЖ nсo selecionou uma empresa."
"info no creator role"	"<p align=""center"">Configuraушes de projeto foram modificadas<br/>VocЖ nсo tem mais permissсo para criar tarefas</p>"
"info no delete company"	"A empresa nсo pode ser removida porque hр usuрrios associados a esta empresa.nnRemova os usuрrios da empresa primeiro."
"info no delete role"	"Nсo ж possьvel deletar funусo com subordinados.nnSe uma nova pessoa substituir a pessoa atual, a funусo nсo deve ser deletada. Clique em Editar para substituir a pessoa."
"info no delete user organisation"	"O usuрrio nсo pode ser deletado pois ж parte da organizaусo.nnRemova o usuрrio da organizaусo para deletр-lo."
"info no delete user substitute"	"Usuрrio nсo pode ser removido pois estр no lugar de: {0} ({1}) n nRemova o usuрrio da organizaусo primeiro."
"info no discipline"	"Uma disciplina deve ser inserida."
"info no permission"	"VocЖ nсo tem permissшes para editar aqui."
"info no title"	"Um tьtulo deve ser inserido."
"info no update role"	"<p align=""center"">O relatзrio mudou<br/>VocЖ nсo pode mais atualizar este relatзrio.<br/>O caso foi modificado ou fechado?</p>"
"info none selected"	"Nenhuma tarefa selecionada"
"info non-existing assignee role"	"<p align=""center"">Configuraушes do projeto mudaram<br/>A tarefa nсo pode mais ser atribuьda a esta pessoa</p>"
"info non-existing assignee wd"	"<p align=""center"">Configuraушes do projeto mudaram<br/>A tarefa nсo pode mais ser atribuьda a esta pessoa</p>"
"info non-existing role"	"<p align=""center"">Configuraушes do projeto mudaram<br/>Sua funусo atual nсo dр permissсo para mudar esta tarefa</p>"
"info non-existing substitute"	"<p align=""center"">Configuraушes do projeto mudaram<br/>VocЖ nсo tem mais permissсo para mudar esta tarefa</p>"
"info not self superior"	"Nсo ж possьvel especificar seu superior para ser vocЖ mesmo."
"info offline finding location"	"Offline<br/>Usando a localizaусo disponьvel mais prзxima"
"info offline minimodel"	"Offline<br/>Nсo hр conexсo com a internet e o mini modelo nсo estр disponьvel para uso offline."
"info offline minimodel frame"	"Offline<br/>Nсo hр conexсo com a internet o Рngulo atual de visсo nсo estр disponьvel para uso offline."
"info offline new visit 2d"	"Nсo hр conexсo com a internet e a atual planta do pavimento nсo estр disponьvel para uso offline."
"info offline new visit 3d"	"Nсo hр conexсo com a internet e nсo hр locais disponьveis para uso offline."
"info open draft"	"<p align=""center"">Rascunho<br/><b>Clique para mostrar o relatзrio</b><br/>&nbsp;</p>"
"info password no match"	"As senhas que vocЖ inseriu nсo correspondem."
"info picture ready"	"Baixar imagem"
"info picture ready download"	"A imagem estр pronta para download"
"info preview only"	"Apenas uma prж-visualizaусo do modelo de amostra estр disponьvel."
"info processing 3d"	"A visсo estр sendo atualizada. Tente novamente mais tarde."
"info program error"	"<p align=""center"">Ocorreu um erro no programa<br/>Contate Dalux (support@dalux.com)</p>"
"info project setting error"	"<p align=""center"">Configuraушes de projeto imprevistas<br/>Contate Dalux (support@dalux.com)</p>"
"info remove company"	"Tem certeza de que deseja deletar esta empresa?"
"info remove self"	"VocЖ estр prestes a se remover do projetonnContinuar?"
"info remove work description"	"Esteja ciente de que as tarefas criadas com esta descriусo de trabalho nсo podem mais ser agrupadas com base nesta propriedade.nA descriусo de trabalho serр automaticamente removida das funушes afetadas. nn proceder?"
"info report has update in folder"	"<p align=""center"">Favor notar!<br/>Hр uma atualizaусo para o relatзrio na pasta {0}</p>"
"info report has updates in folder"	"<p align=""center"">Favor notar!<br/>Hр atualizaушes para o relatзrio na pasta {0}</p>"
"info report has updates in folders"	"<p align=""center"">Favor notar!<br/>Hр atualizaушes para o relatзrio na pasta {0}</p>"
"info report ready"	"O relatзrio estр pronto."
"info report ready download"	"O relatзrio estр pronto. Baixar?"
"info role name not empty"	"Especificar nome da funусo"
"info server error"	"Um erro ocorreu no servidor."
"info site manager change"	"Se sua funусo ж de gerente da obra e se vocЖ se substituir, vocЖ nсo poderр mais gerenciar funушes de usuрrio. n n Esta aусo nсo pode ser desfeita!"
"info synchronizing no open"	"Mensagens nсo enviadas estсo sendo sincronizadas. Enquanto isso as entradas nсo podem ser vistas."
