"","nl-nl"
"Approved followup","Goedgekeurd, vervolg"
"Approved followup (folder)","Goedgekeurd, vervolg"
"Approved, followup by","Goedgekeurd, opvolging door"
"ApprovedFollowup (folder)","Goedgekeurd, vervolg"
"Architecture (model)","Architectuur"
"Archive (folder)","Voltooid"
"area","Oppervlakte"
"Area (discipline)","Area"
"AreaPlan","Brutto-/nettoplaner"
"arrow","Pijl"
"Assign","Toewijzen"
"Assign to","Toewijzen aan"
"assigned","Toegewezen"
"Assigned","Toegewezen"
"Assigned by","Toegekend door"
"Assigned to","Toegewezen aan"
"Assigned to","Toegekend aan"
"Assigned to {0}","Toegewezen aan <u>{0}</u>"
"assignee","Gevolmachtigde"
"Assignee","Gevolmachtigde"
"Associate checklist","Associate with checklist"
"Associated checklist","Bijbehorende checklist"
"Association comment","Comment on association"
"Auto","Auto"
"Available offline","Offline beschikbaar"
"Awaiting approval (folder)","In afwachting van goedkeuring"
"AwaitingApproval (folder)","In afwachting van goedkeuring"
"back","Terug"
"Back","Terug"
"Bar","Staaf"
"Base data","Basisgegevens"
"Before","Voor"
"BIM object","Building part"
"BIM object type","Building part type"
"bottom right","bodemrecht"
"box","Doos"
"Building","Gebouw"
"Building incomplete","Gebouw niet beschikbaar"
"Building is not ready","Bygningen er ikke klar"
"Building name","Naam gebouw"
"Building overview","Overzicht gebouw"
"Building status","Gebouwstatus"
"building updated?","Building not found. Repositioning required. Has the drawing material been updated?"
"building_incomplete","Gebouw niet beschikbaar"
"building_incomplete_text","Het gebouw werd onlangs geüpdate en wordt momenteel voorbereid voor weergave op het mobiele apparaat. Het gebouw is tijdelijk niet beschikbaar"
"building_model_not_uploaded","Gebouwmodel nog niet geüpload"
"building_name","Naam gebouw"
"building_name","Naam gebouw"
"building_name_cannot_be_empty","Naam gebouw mag niet leeg zijn!"
"building_name_cannot_be_empty","Naam gebouw mag niet leeg zijn!"
"building_overview","Overzicht gebouw"
"buildings","Gebouwen"
"Buildings","Gebouwen"
"by","door"
"Can be approved upon creation","Kan worden goedgekeurd over creatie"
"cancel","Annuleren"
"Cancel","Annuleren"
"CANCEL","ANNULEREN"
"Cancel changes","Veranderingen niet opslaan"
"Cannot remove project owner","Cannot remove project owner"
"Category","Categorie"
"Caution","Waarschuwing"
"CeilingPlan","Loftsplaner"
"change","Veranderen"
"Change","Veranderen"
"change...","Veranderen…"
"changed","Veranderd"
"changed from","Veranderd vanaf"
"changed_by","Veranderd door"
"changed_from","Veranderd vanaf"
"Checklist","Checklist"
"Checklist association changed","Checklist association changed"
"Checklist changes will be saved","Veranderingen aan de checklist zullen worden opgeslagen.\nDoorgaan?"
"Checklist closed","Checklist afgesloten"
"Checklist no.","Checklist nr."
"Checklist report","Checklist rapport"
"Checklist template","checklist sjabloon"
"Checklist template order","Checklist sjabloon rangschrikken"
"Checklists","Checklists"
"Checklists disabled","Checklists uitgeschakeld"
"Checklists enabled","Checklists ingeschakeld"
"Choose","Kies"
"Choose...","Kies..."
"city","Stad"
"City","Stad"
"City","Stad"
"Clear annotations","Aantekeningen wissen"
"Click on the map to place origo","Klik op de plattegrond om het referentiepunt te plaatsen"
"Click to open","Click to open"
"close","Afsluiten"
"Close","Afsluiten"
"Closed (singular)","Voltooid"
"Color","Kleur"
"Color code","kleurcode"
"Color code changed","kleurcode veranderd"
"Combined","Gecombineerd"
"Combined report","Gecombineerd rapport"
"Comment","Commentaar"
"Compact","Compact"
"Companies","Bedrijven"
"company","Bedrijf"
"Company","Bedrijf"
"Company name","Bedrijfsnaam"
"Complete","Klaar"
"Completed","Gemeld als afgerond"
"Completed (checklist)","Voltooid"
"Completed (folder)","Gemeld als afgerond"
"Completed by","verholpen door"
"Complexity","Complexiteit"
"Compressing image","Comprimeren afbeelding…"
"Compressing image","Comprimeren afbeelding…"
"Confirm","Bevestigen"
"Confirm delete construction","Are you sure you want to delete this contract?"
"confirm delete site","Weet u zeker dat u deze omgeving wilt verwijderen?"
"Confirm password","Wachtwoord bevestigen"
"confirm_password","Wachtwoord bevestigen"
"Confirmation required","Bevestiging noodzakelijk"
"Connection problems","Problemen met verbinding"
"Connection problems","Connection problems\n\nTry again..."
"connection_lost","Problemen met verbinding"
"connection_lost_text","Geen internet verbinding"
"construction","Bouwwerk"
"Construction","Bouwwerk"
"constructions","Bouwwerken"
"Constructions","Bouwwerken"
"Contact information","Contact informatie"
"Continue logout","Uitloggen?"
"Contract","Bouwwerk"
"Contract management","Contract management"
"Contractor","Aannemer"
"Copy from other project","Copy from other project"
"copy_link","Link kopiëren"
"Correspondence","correspondentie"
"Correspondence report","Samengeperst rapport"
"Correspondence report (filename)","Samengeperst rapport"
"could not center on gps description","Kan niet centreren op locatie. GPS positie is buiten tekengebied"
"could not center on gps title","GPS positie ver weg"
"could_not_find_comment","Kon geen commentaar vinden gespecificeerd in link.\n\n Omgeleid naar omgeving gebruiker"
"Country","Land"
"Craftsman","Vakman"
"Create","Aanmaken"
"Create Construction","Aanmaken bouwwerk"
"Create demo user","Aanmaken demo gebruiker"
"Create empty checklist","Create empty checklist"
"Create inspection","Opslaan rapport"
"Create new","Nieuw aanmaken"
"Create role","Aanmaken bewerken"
"Create roles","Create roles"
"Create send","Aanmaken, verzenden"
"Create user","Aanmaken gebruiker"
"Create user","Aanmaken gebruiker"
"Create user","Aanmaken gebruiker"
"Create user","Aanmaken gebruiker"
"Create user","Aanmaken gebruiker"
"Create user","Aanmaken gebruiker"
"Create user","Aanmaken gebruiker"
"create:","Aanmaken: {0}"
"created","Gemaakt"
"Created","Gemaakt"
"Created by","Gemaakt door"
"Created by (email)","Gemaakt door (e-mail)"
"Created only via checklists","Alleen gemaakt via checklists"
"created_by","Aangemaakt door"
"Creates tasks","Creates tasks"
"credetials_fail","gebruikersgegevens komen niet overeen"
"custom_filter","Aangepast filter"
"Daily summary","Dagsamenvatting"
"Dalux daily","Dalux Dagoverzicht"
"Dashboard","Grafische presentatie"
"Data fields","Terrein gegevens"
"Data removed from {0} checklists","Saving changes will <font style=""color:#DD0000"">delete</font> data from {0} checklists."
"Database","Database"
"date","Datum"
"Date","Datum"
"dateformat","MMM d yyyy, HH:mm tt"
"dateformat_air","MMM d yyyy, HH:mm"
"dateformat_air_checklist","MMM d yyyy, HH:mm"
"dateformat_deadline","MMM d yyyy"
"dateformat_short","MMM d"
"dateformatDayYear","MMMM d yyyy"
"deadline","Deadline"
"Deadline","Deadline"
"Deadline changed","Deadline veranderd"
"Default description","Default description"
"Default description","Default description"
"Deficiency","Probleem"
"Delegated to","Delegated to"
"Delete","Verwijderen"
"delete","Verwijderen"
"Delete draft","Verwijder concept"
"Delete Draft","Verwijder concept"
"Delete draft (draft)","Verwijder concept"
"Delete draft (update)","Verwijder concept"
"Delete draft alternative","Verwijder concept"
"Delete drawing","Delete drawing"
"Delete from outbox","Verwijder uit Outbox"
"Delete photo","Delete photo"
"Delete selection","Verwijder selectie"
"Delete x tasks","Taken verwijderen: {0}x {1}"
"Demo user","Demo user"
"description","Beschrijving"
"Description","Beschrijving"
"Detail","Detaljetegninger"
"Detail reports","Detail rapporten"
"Detailed","Uitgebreid"
"Deviation","Deviation"
"DF","P"
"Disabled","Disabled"
"Discipline","Discipline"
"Discipline already exists","Discipline already exist for this contract"
"Disciplines","Disciplines"
"Displays","Vertonen"
"document file types","*.pdf"
"Documents","Documenten"
"Done","Klaar"
"Download","Download"
"Download PDF","Download PDF"
"Downloading checklist...","Downloaden checklist…"
"Downloading report...","Downloaden rapport."
"Downloading task {0} of {1}","Downloading task {0} of {1}"
"Draft","Concept"
"Draft early version, change location","<center>NB!<br/><br/>The draft has been created with an earlier version of Dalux Field. Update the location.<br/><br/>Remeber to keep Dalux Field for mobile up to date</center>"
"Drafts","Concepten"
"Drawing","Tekening"
"Drawing updated {0}","Drawing updated {0}"
"Drawing with tasks","Tekening met taken"
"Drawings","Tegninger"
"dRofus integration","dRofus-integration"
"DUT_MILLIMETERS","mm"
"DUT_SQUARE_METERS","m²"
"DV","DV"
"Economy","Besparing"
"Economy changed","Besparing veranderd"
"edit","Bewerken"
"Edit","Bewerken"
"Edit building model file","Bewerk bestand gebouwmodel "
"Edit persons","Edit persons"
"Edit photo","Foto bewerken"
"Edit project data","Bewerkt project gegevens"
"Edit properties","Eigenschappen bewerken"
"Edit role","Functie bewerken"
"Edit site data","Bewerkt omgeving gegevens"
"Edit user","Bewerk gebruiker"
"Edit contract","Bewerk bouwwerk"
"element_properties","Opties"
"Elevation","Verdieping"
"Elevation lower","Elevation, lower"
"Elevation upper","Elevation, upper"
"ellipse","Ovaal"
"email","E-mail"
"Email","E-mail"
"Email for new tasks","E-mail for new tasks"
"Email settings","Mail settings"
"Email settings (ribbon)","Mail settings"
"Email with daily summary","E-mail with daily summary "
"email:","E-mail:"
"empty_list","De lijst is leeg"
"Enable","Toestaan"
"Enable checklists","Inschakelen checklists"
"Enable photos","Toestaan foto's"
"Enabled","Enabled"
"EngineeringPlan","Konstruktionsplaner"
"Enter discpline","Enter discipline"
"Enter title","Enter title"
"enterprise","Onderneming"
"Entire list","Volledige lijst"
"error","Foutmelding"
"Error","Foutmelding"
"Error","Fout"
"Error downloading offline data","Fout met downloaden gegevens"
"Excel","Excel"
"Excel and locations","Excel en locaties"
"Excel and locations","Excel en locaties"
"Existing","Bestaand"
"existing","Bestaand"
"existing task restricted to {0}","Bestaande taak: Beperkt tot '{0}'"
"Export","Exporteer"
"Export all","Exporteer alles"
"Export failed","Export mislukt"
"Export overview","Exporteer overzicht"
"Fictive user","Fictieve gebruiker"
"Field definition","Terrein definitie"
"Field type","Terrein type"
"Fields","Velden"
"File","Bestand"
"File could not be downloaded","The file could not be downloaded"
"File to upload","Bestand om te uploaden"
"Files","Bestanden"
"Files to upload","Bestand om te uploaden"
"Fill in","Invullen"
"Filters","Filters"
"find","Zoeken"
"First levels","Eerste"
"First name","Voornaam"
"first_name","Voornaam"
"Floor","Vloer"
"Floor name","Naam plattegrond"
"Floor plan","plattegrond"
"Floor plans","Plattegrond"
"Floor properties","Eigenschappen plattegrond"
"floor updated?","Floor plan not found. Repositioning required. Has the drawing material been updated?"
"floor_name","Verdieping"
"Floorplan","Plattegrond"
"FloorPlan","Etageplaner"
"floorplans","Plattegronden"
"Floorplans","Plattegronden"
"floors","Plattegronden"
"Floors","Plattegronden"
"flow_configuration","Continue configuratie"
"flow_configuration_definition","Definitie continue configuratie"
"Folder","Map"
"Folder tools","Map opties"
"Foreman","Uitvoerder"
"found","found"
"From camera","Vanaf Camera"
"From drawing","From drawing"
"From gallery","Vanaf Galerij"
"Generate report","Genereer rapport"
"Generating document","Genereren document"
"Generating picture","Genereren afbeelding"
"Generating report","Genereren rapport…"
"Generating report {0}","Genereren rapport {0}"
"GIS location","GIS locatie"
"GIS placement not chosen","GIS plaatsing niet gekozen"
"Go to location","Toon locatie"
"gps accuracy timeout description","Kan GPS niet activeren. Controleer de instellingen van het apparaat om zeker te zijn dat GPS is ingeschakeld en het signaal goed is."
"gps accuracy timeout title","GPS"
"gps accuracy too coarse description","GPS nauwkeurigheid laag (40 meter+)"
"gps accuracy too coarse title","GPS"
"gps not enabled description","Kan GPS niet activeren. Controleer de instellingen van het apparaat om zeker te zijn dat GPS is ingeschakeld"
"gps not enabled title","GPS"
"Green","Groen"
"Header","Aanhef"
"height","Hoogte"
"Help text","Help tekst"
"Home","Begin"
"i_accept","Ik ga akkoord met deze gratis dienst &quot;as is&quot;"
"ID","ID"
"image file types","*.gif;*.png;*.jpg;*.jpeg"
"images","Afbeeldingen"
"Images","Afbeeldingen"
"Import","importeer"
"Import complete","The project setting import was successfull"
"Import from","Import from"
"Import from file","Import from file"
"Import from filesystem","Import from filesystem"
"Import from projects","Import from projects"
"Inactive user","Inactieve gebruiker"
"Inbox","Inbox"
"Inbox (folder)","Inbox"
"Info","Informatie"
"info 500+ options","There are more than 2000 unique options.\nUse the search filter underneath"
"info add building name","Naam gebouw mag niet leeg zijn!"
"info admin edits work description","Alleen beheerders kunnen de werkbeschrijvingen bewerken.\nBeheerders staan vermeld onder Gebruikers (Onder instellingen aan het menu aan de linkerkant)."
"info another user created this task","Een andere gebruiker heeft deze taak aangemaakt. Alleen deze gebruiker kan de taak inzien of bewerken"
"info app update","Update Dalux Field<br/><br/>Remember to synchronize unsent data before updating"
"info batch deny assign wd","It is only possible to assign multiple tasks at once when all tasks are within the same area and work description.\n\nNarrow down the selection. You might want to apply a filter on the columns Supervision and Work Description."
"info batch deny reply","It is only possible {0} multiple tasks at once as long as the selected tasks can be changed by you.\n\nDo you have write permissions to the selected tasks?\nDid you select the right folder?\n\nRemove selection of tasks you can no longer change."
"info building incomplete","Het gebouw werd onlangs geüpdate en wordt momenteel voorbereid voor weergave op het mobiele apparaat. Het gebouw is tijdelijk niet beschikbaar"
"info building queued analysis","Building is being updated. Try again later."
"info building update failed","Building update failed. Contact Dalux."
"info building updating 3d","Drawings are being updated. Try again later."
"info cannot edit work description","De werkbeschrijving kan alleen worden ingesteld als de huidige functie van de voorman geen werkbeschrijving heeft. Alleen beheerders kunnen werkbeschrijvingen wijzigen voor zichzelf."
"info checklist conflict","<p align=""center"">Checklist werd elders gewijzigd.<br/>De veranderingen zullen worden overschreven door te klikken op opslaan .<br/><br/><b>Klik om veranderingen te zien</b></p>"
"info checklist not sent retry","De checklist is niet opgeslagen.<br/><br/>Klik op opslaan om opnieuw te proberen."
"info checklist offline","Deze checklist is niet beschikbaar offline"
"info commit checklist first","<P ALIGN=""center"">Bijbehorende checklist niet gevonden.<br/>Upload checklist of verwijder foto.</P>"
"info company has users","Cannot remove a company having users"
"info connection lost","Geen internet verbinding"
"info contract uses company","Company with one or more contracts"
"info credetials fail","gebruikersgegevens komen niet overeen"
"info demo site","Dit is een demo project. Daarom is het niet toegestaan BIM instellingen aan te passen"
"info document ready","Het document is gereed."
"info document ready download","Het document is gereed. Downloaden?"
"info email not validated","e-mail adres is niet bevestigd"
"info empty list","De lijst is leeg"
"info field missing","{0}' ontbreekt"
"info image load failed","Afbeelding laden is mislukt"
"info invalid email","Het emailadres dat u heeft ingevoerd is niet geldig."
"info invalid password","Uw wachtwoord moet minstens 6 tekens lang zijn"
"info invalid roleworkdescription delete","Cannot remove work descriptions that are in use."
"info invited","<p align=""center"">Uitnodiging voor project '{0}'</p>"
"info isnan {0}","Opgegeven waarde voor '{0}' is geen getal"
"info logged in","U bent nu ingelogd"
"info logged out","U bent uitgelogd"
"info mail sent {0}","Een e-mail is verzonden naar '{0}'"
"info must select assignee","A responsible must be selected."
"info must update task","Internetverbinding nodig om taak te updaten"
"info new user added mail sent","Een uitnodigingsmail is verzonden naar het gespeciffeerde e-mail adres.\n\nDe gebuiker zal worden geactiveerd wanneer de e-mail bevestigd is via de link in de uitnodigingsmail en de gebruiker is aangemaakt."
"info no bim","No BIM, CAD or PDF's. Upload from Settings."
"info no company selected","You have not selected a company."
"info no creator role","<p align=""center"">Project instellingen zijn gewijzigd<br/>U heeft geen toegang meer om deze taak te wijzigen</p>"
"info no delete company","Bedrijf kan niet  verwijderd worden omdat gebruikers onderdeel van dit bedrijf zijn.\n\n"
"info no delete role","Kan de functie niet verwijderen met ondergeschikten.\n\nWanneer een nieuwe persoon de huidige vervangt, mag de huidige functie niet worden verwijderd. Klik Aanpassen om persoon te vervangen"
"info no delete user organisation","User van"
"info no delete user substitute","Gebruiker"
"info no discipline","A discipline must be entered."
"info no permission","You do not have permissions to edit here."
"info no title","A title must be entered."
"info no update role","<p align=""center"">Rapport is gewijzigd<br/>U kunt het rapport niet meer updaten<br/>is de zaak veranderd of afgesloten?</p>"
"info none selected","Geen taak geselecteerd"
"info non-existing assignee role","<p align=""center"">Project instellingen zijn gewijzigd<br/>De taak kan niet meer toegewezen worden naar deze persoon</p>"
"info non-existing assignee wd","<p align=""center"">Project instellingen zijn gewijzigd<br/>De taak kan niet meer toegewezen worden naar deze persoon</p>"
"info non-existing role","<p align=""center"">Project instellingen zijn gewijzigd<br/>Uw huidige functie geeft geen toegang om deze taak te wijzigen</p>"
"info non-existing substitute","<p align=""center"">Project instellingen zijn gewijzigd<br/>U heeft geen toegang meer om deze taak te wijzigen</p>"
"info not self superior","Is het mogelijk om"
"info offline finding location","Offline<br/>Gebruik maken van dichtsbijzijnde beschikbare locatie"
"info offline minimodel","Offline<br/>Er is geen verbinding met het internet en het kleine model is niet beschikbaar voor offline gebruik"
"info offline minimodel frame","Offline<br/>Er is geen verbinding met het internet en de huidige kijkhoek is niet beschikbaar voor offline gebruik"
"info offline new visit 2d","Er is geen verbinding met het internet en de huidige plattegrond is niet beschikbaar voor offline gebruik"
"info offline new visit 3d","Er is geen verbinding met het internet en er zijn geen locaties beschikbaar voor offline gebruik"
"info open draft","<p align=""center"">Concept<br/><b>Klik om het rapport te tonen</b></p>"
"info password no match","Ingevoerde wachtwoorden komen niet overeen"
"info picture ready","Download afbeelding"
"info picture ready download","De afbeelding is klaar om te downloaden"
"info preview only","Enkel een voorvertoning van het voorbeeld model is beschikbaar"
"info processing 3d","View is being updated. Try again later."
"info program error","<p align=""center"">Programma fout opgetreden<br/>Neem contact op met Dalux (support@dalux.com)</p>"
"info project setting error","<p align=""center"">Onvoorspelbare project instellingen<br/>Neem contact op met Dalux (support@dalux.com)</p>"
"info remove company","Are you sure you want to delete this company?"
"info remove self","You are about to remove yourself from the project\n\nContinue?"
"info remove work description","Wees ervan bewust dat aangemaakte taken met deze werkbeschrijving niet langer gegroepeerd kunnen worden gebasseerd op dit eigendom.\nDe werkbeschrijving zal automatisch verwijderd worden van de Beïnvloede functies. \n\n doorgaan?"
"info report has update in folder","<p align=""center"">Let op!<br/>Er zijn updates voor het rapport in de mappen {0}</p>"
"info report has updates in folder","<p align=""center"">Let op!<br/>Er zijn updates voor het rapport in de mappen {0}</p>"
"info report has updates in folders","<p align=""center"">Let op!<br/>Er zijn updates voor het rapport in de mappen {0}</p>"
"info report ready","Het rapport is klaar."
"info report ready download","Het rapport is klaar. Downloaden?"
"info role name not empty","Geef naam functie"
"info server error","Er is een fout opgetreden op de server"
"info site manager change","Wanneer uw functie omgeving beheerder is en je vervangt jezelf,  zal u niet langer in staat zijn gebruiker tools te beheren. \n \n Deze actie kan niet ongedaan gemaakt worden!"
"info synchronizing no open","Niet verzonden berichten worden gesynchroniseerd. Inzendingen kunnen ondertussen niet bekeken worden."
"info task altered","<p align=""center"">Taken veranderd<br/>De update is niet verplicht.<br/>Klik om het rapport te openen</p>"
"info task not available","<P ALIGN=""center"">Dit rapport is niet beschikbaar</P>"
"info task offline","<P ALIGN=""center"">Dit rapport is niet beschikbaar offline</P>"
"info task sent update checklist","De taak is verzonden naar de server. Update de checklist om het rapport resultaat te zien"
"info too many tasks","In dit gebied: {0} taken"
"info unhandled error","Er is een onverwachte fout opgetreden"
"info user added mail sent","De gebruiker is nu toegevoegd en een uitnodigingsmail wordt naar het opgegeven e-mail adres gestuurd.\n\nDe gebruiker wordt geactiveerd wanneer de email wordt bevestigd via de link in de uitnodigingsmail"
"info user invitation accepted","Gebruiker aangemaakt en uitnodiging geaccepteerd"
"info user not found create?","Gebruiker niet gevonden. Wilt u deze gebruiker aanmaken?"
"info wait synchronizing tasks","De taak kan niet worden geopend gedurdende de outbox wordt gesychroniseerd. Probeer het later opnieuw"
"info wizard new user","Een persoon die niet deel uit maakt van uw Dalux Field project. Een uitnodiging wordt verzonden wanneer u op creëer klikt."
"Insert","Invoegen"
"Insert comment","Voeg opmerking toe"
"Insert text","Insert text"
"Inspection","Toezicht"
"Inspection note","Controle opmerking"
"Instructions","Instructies"
"Interval","Interval"
"invalid_flow","Ongeldige Actie"
"invalid_flow_text","Actie van de gebruiker niet geldig (is de taak veranderd?)"
"invalid_user","Ongeldige gebruiker"
"invalid_user_text","Gebruikersgegevens of gebruiksrechten zijn gewijzigd"
"Invitation","Uitnodiging"
"Invite user","Gebruiker uitnodigen"
"is_not_available"," is niet beschikbaar"
"IT Administrators","IT-administratorer"
"Landscape","Landschap"
"language","nl"
"Language","Taal"
"language (splash screen)","nl"
"language_code","nl-nl"
"Last editet","Laatst gewijzigd"
"Last edited","Laatst gewijzigd"
"Last modified","Laatst gewijzigd"
"Last modified by","Laatst gewijzigd door"
"Last name","Achternaam"
"Last updated","Laatst bijgewerkt op"
"Last updated by","Laatst bijgewerkt door"
"Last uploaded by","Laatst geüpload door"
"last_name","Achternaam"
"Less than one minute remaining","Less than one minute remaining"
"Let us know","Laat het ons weten"
"lets_know","Laat het ons weten"
"Level","Vloer"
"Levels","Levels"
"List","Lijst"
"loading","Laden"
"Loading (from disk)","Loading"
"Loading buildings","Loading buildings"
"Loading data","Gegevens laden"
"Loading drafts...","Laden concepten…"
"Loading list data","Laden gegevenslijst"
"Loading list data...","Laden gegevens lijst…"
"located on plan","Gelegen op plattegrond"
"located on plan and view","Gelegen op plattegrond en aanzicht"
"location","Locatie"
"Location","Locatie"
"Location changed","Locatie veranderd"
"location:","Locatie:"
"Location: {0}","Locatie: {0}"
"Log in","Inloggen"
"Log out","Uitloggen"
"log_in","Inloggen"
"log_out","Uitloggen"
"Logged in as","Ingelogd als"
"logged_in_as","Ingelogd als"
"logged_out","U bent uitgelogd"
"Login refused text","Gebruiker/wachtwoord niet gevonden."
"Login refused title","Ongeldige gebruiker"
"Login revoked text","Gebruikersgegevens of gebruiksrechten zijn gewijzigd"
"Login revoked title","Ongeldige gebruiker"
"logo","Logo"
"Logo","Logo"
"logo_editor_text","Dit logo zal worden gebruikt in geprinte rapporten"
"Long","Uitgebreid"
"low","Laag"
"manage_users","Gebruikers beheren"
"Map","Map"
"Markers","Markeringen"
"Memo no.","Memo nr."
"minute","minute"
"minutes","minutes"
"Modified","Gewijzigd"
"modified","Gewijzigd"
"Month1","januari"
"Month10","oktober"
"Month11","november"
"Month12","december"
"Month2","februari"
"Month3","maart"
"Month4","april"
"Month5","mei"
"Month6","juni"
"Month7","juli"
"Month8","augustus"
"Month9","september"
"Move down","omlaag"
"Move to drafts","Verplaats naar concepten"
"Move up","Omhoog"
"Multiple","Meervoudig"
"Multiple filters","Veel filters"
"Multiple responsible","meerdere verantwoordelijken"
"must accept cookies","Om Dalux Field te gebruiken moet u het gebruik van cookies toestaan"
"must accept terms","Om Dalux Field te gebruiken moet u onze algemene voorwaarden accepteren"
"name","Naam"
"Name","Naam"
"Network failure. Try again","Netwerkstoring. Probeer opnieuw"
"New","Nieuw"
"new","Nieuw"
"New (m)","Nieuw"
"New assignee","Nieuwe gevolmachtigde"
"New building model file","Nieuw gebouwmodel bestand"
"New checklist","Nieuwe checklist"
"New company","Nieuw bedrijf"
"New construction","Nieuwe bouwwerk"
"New construction","Nieuw bouwwerk"
"New department","New department"
"New discipline","New discipline"
"New fictive user","Nieuwe fictieve gebruiker"
"New floor","Nieuwe plattegrond"
"New inspection","Nieuwe aantekening toezicht"
"New project","Nieuw project"
"New registration","New registration"
"New site","Nieuw bouwterrein"
"New supervisor area","Nieuw gebied toezichthouders"
"New tasks","Nieuwe taken"
"New user","Nieuwe gebruiker"
"New work description","Nieuwe werk beschrijving"
"new_building","Nieuw gebouw"
"new_demo_site","Nieuwe demo omgeving"
"new_demo_site_details","New demo bouwterrein.\n\nAlleen kleine gebouwen toegestaan"
"new_site_details","Nieuw bouwterrein met onbeperkte grootte"
"new_status","Nieuwe status"
"new_task_list","Nieuwe taaklijst"
"new_value","Nieuwe waarde"
"Next","Volgende"
"No available sites","Geen beschikbare bouwterreinen"
"No building and floors available for this site. GIS can not be placed","Geen gebouw en plattegronden beschikbaar voor deze omgeving. GIS kan niet geplaatst worden"
"No building and floors available for this site. GIS can not be placed","Geen gebouw en plattegronden beschikbaar voor deze omgeving. GIS kan niet geplaatst worden"
"No buildings","No buildings"
"No connection","Geen verbinding…"
"No drafts","Geen concepten"
"No drawings","Ingen tegninger"
"No permission text","Gevraagde bewerking geweigerd wegens functie beperkingen"
"No permission title","Toestemming afgewezen"
"No picture","No picture"
"No registrations","Geen inschrijvingen"
"No results","No results"
"No room","(Geen ruimte)"
"No selection","Geen selectie"
"no selection","Geen selectie"
"No sorting","Nee sorteer"
"No title","Geen titel"
"No.","Nr."
"no_building","(geen gebouw)"
"no_connection","Geen verbinding…"
"no_floor","(geen vloer)"
"no_floors","(geen vloer)"
"no_room","(geen ruimte)"
"no_selection","Geen selectie"
"no_title","(Geen titel)"
"none","Geen"
"None","Geen"
"None (filter)","Geen"
"normal","Normaal"
"Not allowed","Niet toegestaan"
"Not created","Niet aangemaakt"
"Not deleted","Niet verwijderd"
"Not logged in","Niet ingelogd"
"Not sent (singular)","Niet verzonden"
"Not set","Niet ingesteld"
"Not signed up","Not signed up"
"Not synchronized","Niet gesynchroniseerd"
"not_found","Niet gevonden"
"not_set","(Niet ingesteld)"
"Note field on registrations","Opmerking veld op registraties"
"Notes","Aantekeningen"
"notification","Bekendmaking"
"Notification","Bekendmaking"
"number","Nummer"
"Number","Nummer"
"Number series","Nummer reeksen"
"object","Object"
"Observations","Waarnemingen"
"Observer","Toeschouwer"
