"source","target"
"info non-existing assignee role","<p align=""center""> Projektinställningar har ändrats <br/> Uppgiften kan inte längre tilldelas denna person </ p>"
"info non-existing assignee wd","<p align=""center""> Projektinställningar har ändrats <br/> Uppgiften kan inte längre tilldelas denna person </ p>"
"info non-existing role","<p align=""center""> Projektinställningar har ändrats <br/>Din nuvarande roll ger inte behörighet att ändra denna uppgift </ p>"
"info non-existing substitute","<p align=""center""> Projektinställningar har ändrats <br/>Din har inte längre behörighet att ändra denna uppgift </ p>"
"info not self superior","Det är inte möjligt att ange din chef för att vara dig själv"
"info offline finding location","Offline <br/> Använder närmast tillgängliga platsen"
"info offline minimodel","Offline<br/>Det finns ingen anslutning till internet och mini-modellen är inte tillgänglig för användning offline."
"info offline minimodel frame","Offline<br/>Det finns ingen anslutning till Internet och den aktuella bildvinkeln är inte tillgänglig för användning offline."
"info offline new visit 2d","Offline<br/>Det finns ingen anslutning till Internet och den aktuella planritningen är inte tillgänglig för användning offline."
"info offline new visit 3d","Offline<br/>Det finns ingen anslutning till Internet och inga platser på denna våning är tillgängliga för användning offline."
"info open draft","<p align=""center"">Utkast<br/><b>Klicka för att visa rapporten</b></p>"
"info password no match","Lösenorden matchar inte."
"info picture ready","Ladda ner bild"
"info picture ready download","Bilden är klar för nedladdning"
"info preview only","Endast en förhandsvisning av prov modellen finns."
"info processing 3d","Visning uppdateras. Försök igen senare."
"info program error","<p align=""center""> Programfel uppstod <br/> Kontakta Dalux (support@daluxqa.com) </ p>"
"info project setting error","<p align=""center""> Oförutsedda projektinställningar <br/> Kontakta Dalux (support@daluxqa.com) </ p>"
"info remove company","Är du säker på att du vill ta bort det här företaget?"
"info remove self","Du håller på att ta bort dig själv från projektet n nVill du fortsätta?"
"info remove work description","Var medveten om att uppgifter som skapats med den här arbetsbeskrivning inte längre kan grupperas baserat på denna fastighet. NArbetsbeskrivningen kommer automatiskt att tas bort från de påverkade roller. nn Vil du fortsätta?"
"info report has update in folder","<p align=""center""> Observera! <br/> Det finns en uppdatering av rapporten i mappen {0} </ p>"
"info report has updates in folder","<p align=""center""> Observera! <br/> Det finns uppdateringar till rapporten i mappen  {0} </ p>"
"info report has updates in folders","<p align=""center""> Observera! <br/> Det finns uppdateringar till rapporten i mapparna  {0} </ p>"
"info report ready","Rapporten är redo."
"info report ready download","Rapporten är redo.Ladda ner?"
"info role name not empty","Ange rollnamn"
"info server error","Ett fel uppstod på servern."
"info site manager change","Om du som byggledare ersätter dig själv kommer du inte längre att se några användare. nnDenna åtgärd kan inte ångras!"
"info synchronizing no open","Oskickade meddelanden synkroniseras. Inlägg kan inte visas under tiden."
"info task altered","<p align=""center"">Uppgiften ändrad<br/>Uppdateringen är inte gjord.<br/>Klicka för att öppna rapporten</p>"
"info task not available","<P ALIGN=""center"">Denna rapport är inte tillgänglig</P>"
"info task offline","<P ALIGN=""center"">Denna rapport är inte tillgänglig offline</P>"
"info task sent update checklist","Uppgiften har skickats till servern. Uppdatera checklistan för att öppna den resulterande rapporten."
"info too many tasks","I detta område: {0} uppgifter"
"info unhandled error","Ett oväntat fel uppstod"
"info user added mail sent","Användaren är nu skapad.Vi har skickat en inbjudan via mail. nn Användaren aktiveras när e-postadressen har bekräftats via länken i e-postinbjudan."
"info user invitation accepted","Användare skapad och inbjudan accepterad"
"info user not found create?","Användaren hittades inte. Vill du skapa den här användaren?"
"info wait synchronizing tasks","Kan inte öppna uppgiften medan utkorgen synkroniseras. Försök igen om en liten stund."
"info wizard new user","Personen är inte upprättad med ditt DaluxQA projekt. Inbjudan kommer att skickas när du trycker på Skapa."
"Insert","Infoga"
"Insert comment","Infoga kommentar"
"Insert text","Infoga text"
"Inspection","Tillsyn"
"Inspection note","Tillsynsanteckning"
"Instant mails","E-post för varje ny uppgift"
"Instructions","Instruktioner"
"Interval","Intervall"
"Invalid password","Felaktigt lösenord"
"invalid_flow","Ogiltig handling"
"invalid_flow_text","Användarens åtgärd inte giltigt (har uppgiften ändrats?)"
"invalid_user","Ogiltig användare"
"invalid_user_text","Användaruppgifter eller tillstånd har ändrats."
"Invitation","Inbjudan"
"Invitation accepted (date)","Inbjudan accepterad"
"Invitation sent (date)","Inbjudan skickad"
"Invitation to x from y","Inbjudan till {0} från {1}"
"Invitations","Inbjudningar"
"Invite user","Invitera användare"
"Invoice e-mail","Fakturerings e-post"
"Invoice information","Faktureringsinformation"
"Invoice note","Faktura"
"Is empty","Är tom"
"Is not empty","Är inte tom"
"is_not_available","är inte tillgänglig"
"IT Administrators","IT administratör"
"Landscape","liggande"
"language","sv"
"Language","Språk"
"language (splash screen)","sv"
"language_code","sv-se"
"Last editet","Senast redigerad"
"Last edited","Senast redigerad"
"Last modified","Senast ändrad"
"Last modified by","Senast ändrad av"
"Last name","Efternamn"
"Last updated","Senast uppdaterad"
"Last updated by","Senast uppdaterad av"
"Last uploaded by","Senast uppladdat av"
"last_name","Efternamn"
"Less than","Mindre än"
"Less than equals","Mindre än är lika med"
"Less than one minute remaining","Mindre än en minut kvar"
"Let us know","Berätta för oss"
"lets_know","Berätta för oss"
"Level","Våning"
"Levels","Nivåer"
"List","Lista"
"loading","Laddar"
"Loading (from disk)","Laddar"
"Loading buildings","Laddar byggnader"
"Loading data","Laddar data"
"Loading drafts...","Laddar utkast…"
"Loading list data","Laddar listdata"
"Loading list data...","Laddar listdata…"
"located on plan","Ligger på planen"
"located on plan and view","Ligger på plan och vy"
"location","Plats"
"Location","Plats"
"Location changed","Plats ändrad"
"location:","Plats:"
"Location: {0}","Plats: {0}"
"Log in","Logga in"
"Log out","Logga ut"
"log_in","Logga in"
"log_out","Logga ut"
"Logged in as","Inloggad som"
"logged_in_as","Inloggad som"
"logged_out","Du har loggat ut"
"Login refused text","Användare / lösenord hittades inte"
"Login refused title","Ogiltig användare"
"Login revoked text","Användaruppgifter eller tillstånd har ändrats."
"Login revoked title","Ogiltig användare"
"logo","Logo"
"Logo","Logo"
"Project photo",""
"logo_editor_text","Denna logotyp kommer att användas i utskrivna rapporter"
"Long","Lång"
"low","Låg"
"manage_users","Administrera användare"
"Map","Karta"
"Markers","Markörer"
"Memo no.","Memo nr."
"minute","minut"
"minutes","minuter"
"Modified","Modifierad"
"modified","Modifierad"
"Month1","januari"
