"source","target"
"Approved, followup by","Godkendt, opfølgning af"
"ApprovedFollowup (folder)","Godkendte, opfølgning"
"Architecture (model)","Arkitekt"
"Archive (folder)","Afsluttet"
"Are you sure you want to delete building ""{0}""?","Er du sikker på at du vil slette bygningen ""{0}""?"
"Are you sure you want to delete this checklist?","Er du sikker på at du vil slette denne tjekliste?"
"Are you sure you want to delete this control plan?","Er du sikker på at du vil slette denne kontrolplan?"
"area","Areal"
"Area (discipline)","Område"
"AreaPlan","Brutto-/nettoplaner"
"arrow","Pil"
"Ascending A-Z","Stigende A-Z"
"Assign","Tildel"
"Assign to","Tildel til"
"assigned","Tildelt"
"Assigned","Tildelt"
"Assigned by","Tildelt af"
"Assigned to","Tildelt til"
"Assigned to","Tildelt til"
"Assigned to {0}","Tildelt til <u>{0}</u>"
"assignee","Tildelt"
"Assignee","Tildelt"
"Associate checklist","Tilknyt tjekliste"
"Associated checklist","Tjeklistetilknytning"
"Association comment","Kommentar til tilknytning"
"Attention to","Att."
"Auto","Auto"
"Available offline","Tilgængelig offline"
"Awaiting approval (folder)","Afventer godkendelse"
"AwaitingApproval (folder)","Afventer godkendelse"
"back","Tilbage"
"Back","Tilbage"
"Bar","Søjle"
"Base data","Stamdata"
"Before","Før"
"BIM object","Bygningsdel"
"BIM object type","Bygningsdelstype"
"bottom right","nederst til højre"
"box","Kasse"
"Bring to front","Placer forrest"
"Building","Bygning"
"Building incomplete","Bygning ikke klar"
"Building is not ready","Bygningen er ikke klar"
"Building name","Bygningsnavn"
"Building overview","Bygningsoversigt"
"Building status","Bygningsstatus"
"building updated?","Bygningen blev ikke fundet. Lokationen skal opdateres.<br/><br/>Er tegningsmaterialet blevet ændret?"
"building_incomplete","Bygning ikke klar"
"building_incomplete_text","Bygningensmodellen blev opdateret for nylig og klargøres i øjeblikket til visning. Visning er derfor ikke tilgængelig lige nu."
"building_model_analysing","Bygningen opdateres"
"building_model_not_uploaded","Der er endnu ikke lagt en bygningsmodel ind."
"building_model_pending","Opdatering af bygning er planlagt."
"building_model_queued_reanalysis","Bygningen opdateres igen og er i kø."
"building_model_waiting","Opdatering af bygning er i kø."
"building_name","Bygningsnavn"
"building_name","Bygningsnavn"
"building_name_cannot_be_empty","Bygningsnavn må ikke være tomt!"
"building_name_cannot_be_empty","Bygningsnavn må ikke være tomt!"
"building_overview","Bygningsoversigt"
"buildings","Bygninger"
"Buildings","Bygninger"
"by","af"
"Can be approved upon creation","Kan godkendes ved oprettelse"
"Can delete when","Det er kun muligt at slette alle opgaver når der er oprettet færre end 50 opgaver"
"cancel","Annuller"
"Cancel","Annuller"
"CANCEL","ANNULLER"
"Cancel changes","Annuller ændringer"
"Cannot remove project owner","Projektejeren kan ikke fjernes"
"Category","Kategori"
"Caution","Advarsel"
"CeilingPlan","Loftsplaner"
"change","Skift"
"Change","Skift"
"Change location","Skift lokation"
"Change to automatic publishing","Skift til automatisk publicering"
"Change to manual publishing","Skift til manuel publicering"
"change...","Skift"
"changed","skiftet"
"changed from","ændret fra"
"changed_by","Ændret af"
"changed_from","ændret fra"
"Checklist","Tjekliste"
"Checklist association changed","Tjeklistetilknytning ændret"
"Checklist changes will be saved","Ændringer i tjeklisten gemmes.nFortsæt?"
"Checklist closed","Tjeklisten afsluttet"
"Checklist no.","Tilsynnr."
"Checklist report","Tjeklisterapport"
"Checklist template","Tjeklisteskabelon"
"Checklist template order","Tjeklisteskabelon rækkefølge"
"Checklists","Tjeklister"
"Checklists disabled","Tjeklister slået fra"
"Checklists enabled","Tjeklister slået til"
"Choose","Vælg"
"Choose...","Vælg..."
"city","By"
"City","By"
"City","By"
"Clear","Nulstil"
"Clear annotations","Nulstil markering"
"Click on the map to place origo","Klik på kortet for at placere origo"
"Click to open","Klik for at åbne"
"Client error","Klientfejl"
"close","Luk"
"Close","Luk"
"Closed (singular)","Afsluttet"
"Color","Farve"
"Color code","Farvemarkering"
"Color code changed","Farvemarkering ændret"
"Combined","Samlet"
"Combined report","Samlet rapport"
"Comment","Kommentar"
"Compact","Kompakt"
"Companies","Firmaer"
"company","Firma"
"Company","Firma"
"Company name","Firmanavn"
"Complete","Klarmeld"
"Completed","Klarmeldt"
"Completed (checklist)","Afsluttet"
"Completed (folder)","Klarmeldte"
"Completed by","Udbedret af"
"Complexity","Kompleksitet"
"Compressing image","Komprimerer billede..."
"Compressing image","Komprimerer billede"
"Confirm","Bekræft"
"Confirm delete construction","Er du sikker på at du vil slette denne entreprise?"
"confirm delete site","Er du sikker på at du vil slette dette site?"
"Confirm deletion","Bekræft sletning"
"Confirm password","Bekræft adgangskode"
"confirm_password","Bekræft adgangskode"
"Confirmation required","Bekræftelse påkrævet"
"Connection problems","Forbindelsesproblemer"
"Connection problems","ForbindelsesproblemernnPrøv igen..."
"Connection problems","Forbindelsesproblemer"
"connection_lost","Forbindelsesproblemer"
"connection_lost_text","Ingen internetforbindelse"
"construction","Entreprise"
"Construction","Entreprise"
"constructions","Entrepriser"
"Constructions","Entrepriser"
"Contact Dalux","Kontakt Dalux"
"Contact information","Kontaktinformation"
"Contact IT Administrators","Kontakt IT-administrator"
"Contains","Indeholder"
"Continue logout","Log ud?"
"Contract","Entreprise"
"Contract management","Entrepriseledelse"
"Contractor","Entrepriseleder"
"Control plan","Kontrolplan"
"Control plan area","Kontrolpunkt"
"Control plans","Kontrolplaner"
"Copy from other project","Kopier fra andet projekt"
"copy_link","Kopier link"
"Correspondence","Korrespondance"
"Correspondence report","Komprimeret rapport"
"Correspondence report (filename)","Komprimeret rapport"
"could not center on gps description","Kunne ikke centrere på GPS lokation, da den var uden for tegningen"
"could not center on gps title","Kan ikke centrere"
"Could not open attachment","Kunne ikke åbne file nr@ {0}nEr filen beskadiget?"
"Could not reach the server","Der kunne ikke oprettes forbindelse til serveren. Er du forbundet til internettet?"
"could_not_find_comment","Kommentaren kunne ikke findes.nnNavigerer til site."
"Country","Land"
"Craftsman","Håndværker"
"Create","Opret"
"Create Construction","Opret entreprise"
"Create demo user","Opret demobruger"
"Create empty checklist","Opret tom tjekliste"
"Create empty control plan","Opret tom kontrolplan"
"Create inspection","Gem rapport"
"Create new","Opret ny"
"Create role","Opret rolle"
"Create roles","Opret roller"
"Create send","Opret, send"
"Create user","Opret bruger"
"Create user","Opret bruger"
"Create user","Opret bruger"
"Create user","Opret bruger"
"Create user","Opret bruger"
"Create user","Opret bruger"
"Create user","Opret bruger"
"create:","Opret: {0}"
"created","Oprettet"
"Created","Oprettet"
"Created by","Oprettet af"
"Created by (email)","Oprettet af (e-mail)"
"Created only via checklists","Oprettes kun via tjeklister"
"created_by","Oprettet af"
"Creates tasks","Opretter opgaver"
"credetials_fail","E-mailadresse eller adgangskode er forkert"
"Criteria","Kriterie"
"custom_filter","Brugerfilter"
"Daily summary","Dagligt sammendrag"
"Dalux administration","Dalux-administration"
"Dalux daily","Dalux Dagligt"
"Dashboard","Dashboard"
"Data fields","Datafelter"
"Data removed from {0} checklists","Gemmes ændringerne, vil der blive <font style=""color:#DD0000"">slettet</font> data fra {0} tjeklister."
"Database","Database"
"date","Dato"
"Date","Dato"
"dateformat","d. MMM yyyy, HH:mm"
"dateformat_air","d. MMM yyyy, HH:mm"
"dateformat_air_checklist","d. MMM yyyy, HH:mm"
"dateformat_deadline","d. MMM yyyy"
"dateformat_short","d. MMM"
"dateformatDayYear","d. MMMM yyyy"
"deadline","Deadline"
"Deadline","Deadline"
"Deadline changed","Deadline ændret"
"Default description","Standardbeskrivelse"
"Default description","Standardbeskrivelse"
"Deficiency","Mangel"
"Delegated to","Uddelegeret til"
"Delete","Slet"
"delete","Slet"
"Delete all","Slet alle"
"Delete all tasks","Slet alle opgaver"
"Delete building","Slet bygning"
"Delete checklist","Slet tjekliste"
"Delete control plan","Slet kontrolplan"
"Delete draft","Slet kladde"
"Delete Draft","Slet kladde"
"Delete draft","Slet kladde"
"Delete draft (draft)","Slet kladde"
"Delete draft (update)","Slet udkast"
"Delete draft alternative","Slet udkast"
"Delete drawing","Slet omrids"
"Delete from outbox","Slet fra Ikke sendte"
"Delete photo","Slet foto"
"Delete selection","Fjern markering"
"Delete tasks","Slet opgaver"
"Delete view","Slet visning"
"Delete x tasks","Slet opgaver: {0}x {1}"
"Delete zone","Slet zone"
"Demo user","Demobruger"
"Descending Z-A","Faldende Z-A"
"description","Beskrivelse"
"Description","Beskrivelse"
"Detail","Detaljetegninger"
"Detail reports","Detaljerrapporter"
"Detailed","Detaljeret"
"Deviation","Afvigelse"
"DF","M"
"Disabled","Deaktiveret"
"Discard changes","Slet ændringer"
"Discipline","Tilsynsområde"
"Discipline (drawing)","Fag"
"Discipline already exists","Tilsynsområdet er allerede oprettet for denne entreprise"
"Disciplines","Tilsynsområder"
"Displays","Viser"
"Do you accept the invitation to the project {0}?","Vil du acceptere invitationen til projektet {0}?"
"Do you want to save changes to the draft?","Vil du gemme ændringerne i kladden?"
"Do you want to save the draft?","Vil du gemme kladden?"
"document file types","*.pdf"
"Documents","Dokumenter"
"Does not contain","Indeholder ikke"
"Done","Færdig"
"Download","Hent"
"Download PDF","Hent PDF"
"Downloading checklist...","Henter tjekliste..."
"Downloading report...","Henter rapport..."
"Downloading task {0} of {1}","Henter opgave {0} af {1}"
"Draft","Kladde"
"Draft early version, change location","<center>OBS!<br/><br/>Kladden er oprettet med en tidligere version af Dalux Field. Lokationen skal opdateres.<br/><br/>Husk at opdatere din mobil-app løbende.</center>"
"Drafts","Kladder"
"Drawing","Tegning"
"Drawing information","Tegningsinformation"
"Drawing updated {0}","Tegning opdateret {0}"
"Drawing with tasks","Tegning med opgaver"
"Drawings","Tegninger"
"dRofus integration","dRofus-integration"
"Copy row","Kopier række"
"Duplicate","Dupliker"
"DUT_MILLIMETERS","mm"
"DUT_SQUARE_METERS","m²"
"DV","AFV"
"Economy","Økonomi"
"Economy changed","Økonomi ændret"
"edit","Rediger"
"Edit","Rediger"
"Edit building","Rediger bygning"
"Edit building model file","Rediger bygningsmodel"
"Edit persons","Rediger personer"
"Edit photo","Rediger foto"
"Edit project data","Rediger projektdata"
"Edit properties","Rediger egenskaber"
"Edit role","Rediger rolle"
"Edit site data","Rediger sitedata"
"Edit user","Rediger bruger"
"Edit zone","Rediger zone"
"Edit zones","Rediger zoner"
"Edit contract","Rediger entreprise"
"element updated?","Bygningsdelen blev ikke fundet. Lokationen skal opdateres.<br/><br/>Er tegningsmaterialet blevet ændret?"
"element_properties","Egenskaber"
"Elevation","Kote"
"Elevation lower","Kote, nedre"
"Elevation upper","Kote, øvre"
"ellipse","Ellipse"
"email","E-mail"
"Email","E-mail"
"Email for new tasks","E-mail ved nye opgaver"
"Email log","E-mail-log"
"Email settings","E-mailopsætning"
"Email settings (ribbon)","E-mail-opsætning"
"Email with daily summary","E-mail med dagligt sammendrag"
"email:","E-mail:"
"empty_list","Listen er tom"
"Enable","Anvend"
"Enable checklists","Slå tjeklister til"
"Enable photos","Anvender fotos"
"Enabled","Aktiveret"
"EngineeringPlan","Konstruktionsplaner"
"Enter discpline","Indtast tilsynsområde"
"Enter title","Indtast titel"
"enterprise","Firma"
"Entire list","Hele listen"
"Equals","Lig med"
"error","Fejl"
"Error","Fejl"
"Error","Fejl"
"Error downloading offline data","Kunne ikke hente data"
"Excel","Excel"
"Excel and locations","Excel og lokationer"
"Excel and locations","Excel og lokationer"
"Existing","Eksisterende"
"existing","Eksisterende"
"existing task restricted to {0}","Eksisterende opgave: Begrænset til '{0}'"
"Export","Eksporter"
"Export all","Exporter alt"
"Export failed","Eksporten kunne ikke gennemføres"
"Export overview","Eksporter oversigt"
"Fictive user","Fiktiv bruger"
"Field definition","Feltdefinition"
"Field type","Felttype"
"Fields","Felter"
"File","Fil"
"File could not be downloaded","Filen kunne ikke hentes"
"File to upload","Fil til upload"
"Filename","Filnavn"
"Files","Filer"
"Files to upload","Filer til upload"
"Fill in","Udfyld"
"Filters","Filtre"
"find","Find"
"First levels","Første"
"First name","Fornavn"
"first_name","Fornavn"
"Floor","Etage"
"Floor name","Etagenavn"
"Floor plan","Plan"
"Floor plans","Plantegninger"
"Floor properties","Egenskaber for etage"
"floor updated?","Plantegningen blev ikke fundet. Lokationen skal opdateres.<br/><br/>Er tegningsmaterialet blevet ændret?"
"floor_name","Etagenavn"
"Floorplan","Etageplan"
"FloorPlan","Etageplaner"
"floorplans","Etageplaner"
"Floorplans","Etageplaner"
"floors","Planer"
"Floors","Planer"
"flow_configuration","Anvendt flow"
"flow_configuration_definition","Definition af flow:"
"Folder","Mappe"
"Folder tools","Mappeværktøjer"
"Foreman","Formand"
"found","fundet"
"From camera","Fra kamera"
"From drawing","Fra tegning"
"From gallery","Fra galleri"
"General problem","Generel fejl"
"Generate report","Generer samlet rapport"
"Generating document","Genererer dokument"
"Generating picture","Genererer billede"
"Generating report","Genererer rapport..."
"Generating report {0}","Genererer rapport {0}"
"Get Revit plug-in","Hent Revit-plugin"
"GIS location","GIS-placering"
"GIS placement not chosen","Sitet er ikke placeret på GIS"
"Go to location","Vis lokation"
"gps accuracy timeout description","Der kunne ikke forbindes til GPS. Tjek at du har aktiveret GPS i din mobilenheds indstillinger, samt at der modtages GPS-signal."
"gps accuracy timeout title","GPS"
"gps accuracy too coarse description","Nøjagtigheden på GPS er for upræcis til at kunne vises (mere end 40 meter)"
"gps accuracy too coarse title","GPS"
"gps not enabled description","Der kunne ikke forbindes til GPS. Tjek at du har aktiveret GPS i din mobilenheds indstillinger."
"gps not enabled title","GPS"
"Greater than","Større end"
"Greater than equals","Større eller lig med"
"Green","Grøn"
"Grid","Gitter"
"Header","Sidehoved"
"height","Højde"
"Help text","Hjælpetekst"
"Home","Hjem"
"i_accept","placeholder{0}newline\ntab\t<p align=""center"">html formating</p>line break<br/>"
"ID","ID"
"image file types","*.gif;*.png;*.jpg;*.jpeg"
"images","Billeder"
"Images","Billeder"
"Import","Importer"
"Import complete","Projektopsætningen blev importeret"
"Import from","Importer fra"
"Import from file","Importer fra fil"
"Import from filesystem","Importer fra filsystem"
"Import from projects","Importer fra projekter"
"Inactive user","Inaktiv bruger"
"Inbox","Indbakke"
"Inbox (folder)","Indbakke"
"Include signing field","Medtag vedhæftede filer"
"Include attachments","Medtag vedhæftede filer"
"Include tasks","Medtag opgaver"
"Info","Info"
"info 500+ options","Der er mere end 2000 unikke muligheder.nBrug søgefilteret nedenunder."
"info add building name","Bygningsnavn må ikke være tomt!"
"info admin edits work description","Kun en administrator kan redigere arbejdsbeskrivelserne.nSe hvem der er administrator under Brugere, nedenunder Opsætning."
"info another user created this task","En anden bruger har oprettet opgaven. Kun denne bruger kan se og redigere opgaven."
"info app update","Opdater Dalux Field<br/><br/>Husk at synkronisere ikke sendte data inden du opdaterer"
"info batch deny assign wd","Det er kun muligt at tildele flere opgaver på en gang er når alle opgaverne er indenfor samme område og arbejdsbeskrivelse.nnBegræns markering. Filtrer evt. på kolonnen tilsynsområde og arbejdsbeskrivelse hvis disse benyttes."
"info batch deny reply","Det er kun muligt {0} flere opgaver på en gang så længe de markerede opgaver kan ændres af dig.nnHar du skriverettigheder til alle opgaverne?nEr du i den rette mappe? nnFjern markering af opgaver, du ikke længere kan ændre."
"info building incomplete","Bygningensmodellen blev opdateret for nylig og klargøres i øjeblikket til visning. Visning er derfor ikke tilgængelig lige nu."
"info building queued analysis","Bygningen opdateres. Prøv igen senere."
"info building update failed","Opdatering fejlede. Kontakt Dalux."
"info building updating 3d","Tegningsdata opdateres. Prøv igen senere."
"info cannot edit work description","Arbejdsbeskrivelse kan kun ændres hvis dennes overordnede ikke har nogen arbejdsbeskrivelse. Kun administratorer kan ændre arbejdsbeskrivelse for sig selv."
"info checklist conflict","<p align=""center"">Tjeklisten er ændret fra anden side.<br/>Ændringerne overskrives ved at vælge Gem.<br/><br/><b>Klik for at se ændringer</b></p>"
"info checklist not sent retry","Tjeklisten blev ikke gemt på serveren.<br/><br/>Tryk på Gem for at prøve igen."
"info checklist offline","Denne tjekliste er ikke tilgængelig offline"
"info commit checklist first","<P ALIGN=""center"">Foto kunne ikke knyttes til tjekliste.<br />Upload tjekliste eller slet foto.</P>"
"info company has users","Kan ikke fjerne et firma med brugere"
"info connection lost","Ingen internetforbindelse"
"info contract uses company","Firmaet bruges på en eller flere entrpriser"
"info credetials fail","Brugernavn og kode kunne ikke verificeres"
"info demo site","Dette er et demoprojekt. Du kan derfor ikke redigere BIM-opsætningen."
"info document ready","Dokumentet er færdigt."
"info document ready download","Dokumentet er færdigt. Download?"
"info email not validated","e-mailadressen er endnu ikke bekræftet"
"info empty list","Listen er tom"
"info field missing","'{0}' mangler"
"info image load failed","Billedet kunne ikke hentes"
"info invalid email","E-mailadressen er ikke gyldig"
"info invalid password","Din adgangskode skal mindst indeholde 6 tegn."
"info invalid roleworkdescription delete","Kan ikke fjerne arbejdsbeskrivelser der er i brug."
"info invited","<p align=""center"">Invitation til projektet '{0}'</p>"
"info isnan {0}","Den indtastede værdi for '{0}' er ikke et tal"
"info logged in","Du blev logget ind"
"info logged out","Du blev logget ud"
"info mail sent {0}","Der blev sendt en mail til adressen '{0}'"
"info must select assignee","Der skal vælges en ansvarlig."
"info must update task","Skal have internetforbindelse for at kunne afsende denne opgave."
"info new user added mail sent","Der er sendt en invitationsmail.nnBrugeren aktiveres når e-mailadressen er blevet bekræftet via linket i invitationsmailen og brugeren oprettet i systemet."
"info no bim","Intet tegningsmateriale. Upload under Opsætning."
"info no company selected","Du har ikke valgt et firma."
"info no creator role","<p align=""center"">Projektopsætningen er ændret<br/>Du har ikke længere rettigheder til at oprette opgaver</p>"
"info no delete company","Firma kan ikke fjernes da der er tilknyttet brugere til dette firma.nnFjern brugerne fra firmaet først."
"info no delete role","Kan ikke slette en rolle der har underordnede. nnHvis det er en ny person der erstatter denne person skal denne rolle ikke slettes men personen skal udskiftes."
"info no delete user organisation","Bruger kan ikke fjernes da brugeren er en del af organisationen.nnFjern brugeren fra organisationen først."
"info no delete user substitute","Bruger kan ikke fjernes da brugeren er stedfortræder for: {0} ({1})nnFjern brugeren fra organisationen først."
"info no discipline","Der skal indtastes et tilsynsområde."
"info no permission","Du har ikke rettigheder til at redigere her."
"info no title","Der skal indtastes en titel."
"info no update role","<p align=""center"">Rapporten er ændret.<br/>Du kan ikke længere opdatere denne rapport.<br/>Er sagen blevet afsluttet eller ændret?</p>"
"info none selected","Der er ikke valgt nogen opgaver"
"info non-existing assignee role","<p align=""center"">Projektopsætningen er ændret<br/>Opgaven kan ikke længere tildeles til denne person</p>"
"info non-existing assignee wd","<p align=""center"">Projektopsætningen er ændret<br/>Opgaven kan ikke længere tildeles til denne person</p>"
"info non-existing role","<p align=""center"">Projektopsætningen er ændret<br/>Din angivne rolle giver ikke rettigheder til at ændre opgaven</p>"
"info non-existing substitute","<p align=""center"">Projektopsætningen er ændret<br/>Du har ikke længere rettigheder til at ændre opgaven</p>"
"info not self superior","Det er ikke muligt at have sig selv som overordnet"
"info offline finding location","Offline<br/>Anvender nærmest tilgængelige lokation"
"info offline minimodel","Offline<br/>Der er ikke forbindelse til internettet, og minimodellen er ikke tilgængelig offline."
"info offline minimodel frame","Offline<br/>Der er ikke forbindelse til internettet, og denne vinkel er ikke tilgængelig offline."
"info offline new visit 2d","Der er ikke forbindelse til internettet, og plantegningen er ikke tilgængelig offline."
"info offline new visit 3d","Der er ikke forbindelse til internettet, og der er ikke nogen lokationer tilgængelige på denne etage."
"info open draft","<p align=""center"">Kladde<br/><b>Klik for at vise rapporten</b></p>"
"info password no match","Adgangskoderne er ikke ens."
"info picture ready","Hent billede"
"info picture ready download","Billedet er klar til download"
"info preview only","Systemet er ikke tilgængeligt for demobruger."
"info processing 3d","Visning opdateres. Prøv igen senere."
"info program error","<p align=""center"">Der er sket en programfejl<br/>Kontakt Dalux (support@dalux.com)</p>"
"info project setting error","<p align=""center"">Uforudset projektopsætning<br/>Kontakt Dalux (support@dalux.com)</p>"
"info remove company","Er du sikker på du vil slette dette Firma?"
"info remove self","Du er ved at fjerne dig selv fra projektet.nnForsæt?"
"info remove work description","Vær opmærksom på at opgaver oprettet med denne arbejdsbeskrivelse ikke længere kan grupperes ud fra denne egenskab.nBrugere tilknyttet arbejdsbeskrivelsen bliver automatisk fjernet fra beskrivelsen.nnFortsæt?"
"info report has update in folder","<p align=""center"">Bemærk!<br/>Der er en opdatering til opgaven i mappen {0}</p>"
"info report has updates in folder","<p align=""center"">Bemærk!<br/>Der er opdateringer til opgaven i mappen {0}</p>"
"info report has updates in folders","<p align=""center"">Bemærk!<br/>Der er opdateringer til opgaven i mappen {0}</p>"
"info report ready","Rapporten er færdig."
"info report ready download","Rapporten er færdig. Download?"
"info role name not empty","Angiv rollenavn"
"info server error","Der opstod en fejl på serveren"
"info site manager change","Hvis du som byggeleder udskifter dig selv vil du ikke længere kunne se nogen brugere.nnDenne handling kan ikke fortrydes!"
"info synchronizing no open","Ikke sendte beskeder sendes. Indtastninger kan ikke vises samtidig."
"info task altered","<p align=""center"">Opgaven er ændret<br/>Opdateringen er ikke blevet sendt.<br/><b>Klik for at åbne opgaven</b></p>"
"info task not available","<P ALIGN=""center"">Rapporten er ikke tilgængelig</P>"
"info task offline","<P ALIGN=""center"">Denne rapport er ikke tilgængelig offline</P>"
"info task sent update checklist","Opgaven er sendt til serveren. Opdater tjeklisten for at åbne den resulterende rapport."
"info too many tasks","I dette område: {0} opgaver"
"info unhandled error","Der opstod en uventet fejl."
"info user added mail sent","Brugeren er nu tilføjet og der er sendt en invitationsmail.nnBrugeren aktiveres når e-mailadressen er blevet bekræftet via linket i invitationsmailen."
"info user invitation accepted","Bruger oprettet og invitation accepteret"
"info user not found create?","Brugeren blev ikke fundet. Vil du oprette denne bruger?"
"info wait synchronizing tasks","Opgaven kan ikke vises når udbakken synkroniseres. Prøv igen om et øjeblik."
"info wizard new user","Personen er ikke i forvejen oprettet i dit Dalux Field-projekt. Der vil blive sendt en invitation når der trykkes Opret."
"Insert","Indsæt"
"Insert comment","Kommenter"
"Insert text","Indsæt tekst"
"Inspection","Tilsyn"
"Inspection note","Tilsynsnotat"
"Instant mails","Mail ved nye opgaver"
"Instructions","Instruktioner"
"Interval","Interval"
"Invalid password","Ugyldig kode"
"invalid_flow","Ugyldig handling"
"invalid_flow_text","Handlingen er ikke tilladt for denne bruger (er opgaven ændret?)"
"invalid_user","Ugyldig bruger"
"invalid_user_text","Logindata eller rettigheder er blevet ændret"
"Invitation","Invitation"
"Invitation accepted (date)","Invitation accepteret"
"Invitation sent (date)","Invitation sendt"
"Invitation to x from y","Invitation til {0} fra {1}"
"Invitations","Invitationer"
"Invite user","Inviter bruger"
"Invoice e-mail","Faktura-e-mail"
"Invoice information","Fakturainformation"
"Invoice note","Fakturanote"
"Is empty","Er tom"
"Is not empty","Er ikke tom"
"is_not_available"," er ikke tilgængelig"
"IT Administrators","IT-administratorer"
"Landscape","Liggende"
"language","da"
"Language","Sprog"
"language (splash screen)","da"
"language_code","da-dk"
"Last editet","Sidst redigeret"
"Last edited","Sidst redigeret"
"Last modified","Sidst ændret"
"Last modified by","Sidst ændret af"
"Last name","Efternavn"
"Last updated","Sidst opdateret"
"Last updated by","Sidst opdateret af"
"Last uploaded by","Sidst uploaded af"
"last_name","Efternavn"
"Less than","Mindre end"
"Less than equals","Mindre eller lig med"
"Less than one minute remaining","Mindre end et minut tilbage"
"Let us know","Giv os besked"
"lets_know","Giv os besked"
"Level","Etage"
"Levels","Etager"
"List","Liste"
"loading","Henter"
"Loading (from disk)","Indlæser"
"Loading buildings","Henter bygninger"
"Loading data","Henter data"
"Loading drafts...","Henter kladder"
"Loading list data","Indlæser listedata"
"Loading list data...","Henter listedata..."
"located on plan","Lokation på plan"
"located on plan and view","Lokation på plan og view"
"location","Lokation"
"Location","Lokation"
"Location changed","Lokation ændret"
"location:","Lokation:"
"Location: {0}","Lokation: {0}"
"Log in","Log ind"
"Log out","Log ud"
"log_in","Log ind"
"log_out","Log ud"
"Logged in as","Logget ind som"
"logged_in_as","Logget ind som"
"logged_out","Du blev logget ud"
"Login refused text","Bruger/kode blev ikke fundet."
"Login refused title","Udgyldig bruger"
"Login revoked text","Logindata eller rettigheder er blevet ændret"
"Login revoked title","Ugyldig bruger"
"logo","Logo"
"Logo","Logo"
"Project photo","Projektfoto"
"logo_editor_text","Dette logo vil blive brugt til udskrevne rapporter"
"Long","Lang"
"low","Lav"
