"","nb-no"
"Can be approved upon creation","Kan godkjennes ved opprettelse"
"Can delete when","Det er kun mulig å slette alle oppgaver når det er opprettet færre enn 50 oppgaver"
"cancel","Annuller"
"Cancel","Annuller"
"CANCEL","ANNULLER"
"Cancel changes","Annuller endringer"
"Cannot remove project owner","Prosjekteieren kan ikke fjernes"
"Category","Kategori"
"Caution","Advarsel"
"CeilingPlan","- "
"change","Skift"
"Change","Skift"
"Change location","Skift posisjon"
"Change to automatic publishing","Skift til automatisk publisering"
"Change to manual publishing","Skift til manuell publisering"
"change...","Skift"
"changed","skiftet"
"changed from","endret fra"
"changed_by","Endret av"
"changed_from","endret fra"
"Checklist","Sjekkliste"
"Checklist association changed","Sjekklistetilknytning endret"
"Checklist changes will be saved","Endringer i sjekklisten lagres.\nFortsett?"
"Checklist closed","Sjekklisten avsluttet"
"Checklist no.","Tilsynsnr."
"Checklist report","Sjekklisterapport"
"Checklist template","Sjekklistemal"
"Checklist template order","Sjekklistemal rekkefølge"
"Checklists","Sjekklister"
"Checklists disabled","Sjekklister slått fra"
"Checklists enabled","Sjekklister slått til"
"Choose","Velg"
"Choose...","Velg..."
"city","By"
"City","By"
"City","By"
"Clear","Nullstill"
"Clear annotations","Nullstill markering"
"Click on the map to place origo","Klikk på kartet for å plassere origo"
"Click to open","Klikk for å åpne"
"Client error","Klientfeil"
"close","Lukk"
"Close","Lukk"
"Closed (singular)","Avsluttet"
"Color","Farge"
"Color code","Fargemarkering"
"Color code changed","Fargemarkering endret"
"Combined","Samlet"
"Combined report","Samlet rapport"
"Comment","Kommentar"
"Compact","Kompakt"
"Companies","Firmaer"
"company","Firma"
"Company","Firma"
"Company name","Firmanavn"
"Complete","Klarmeld"
"Completed","Klarmeldt"
"Completed (checklist)","Avsluttet"
"Completed (folder)","Klarmeldte"
"Completed by","Utbedret av"
"Complexity","Kompleksitet"
"Compressing image","Komprimerer bilde..."
"Compressing image","Komprimerer bilde"
"Confirm","Bekreft"
"Confirm delete construction","Er du sikker på at du vil slette denne entreprisen?"
"confirm delete site","Er du sikker på at du vil slette denne plassen?"
"Confirm deletion","Bekreft sletting"
"Confirm password","Bekreft passord"
"confirm_password","Bekreft passord"
"Confirmation required","Bekreftelse kreves"
"Connection problems","Forbindelsesproblemer"
"Connection problems","Forbindelsesproblemer\n\nPrøv igjen..."
"Connection problems","Forbindelsesproblemer"
"connection_lost","Forbindelsesproblemer"
"connection_lost_text","Ingen internettforbindelse"
"construction","Entreprise"
"Construction","Entreprise"
"constructions","Entrepriser"
"Constructions","Entrepriser"
"Contact Dalux","Kontakt Dalux"
"Contact information","Kontaktinformasjon"
"Contact IT Administrators","Kontakt IT-administrator"
"Contains","Inneholder"
"Continue logout","Logg ut?"
"Contract","Entreprise"
"Contract management","Entrepriseledelse"
"Contractor","Entrepriseleder"
"Control plan","Kontrollplan"
"Control plan area","Kontrollpunkt"
"Control plans","Kontrollplaner"
"Copy from other project","Kopier fra annet Prosjekt"
"copy_link","Kopier lenke"
"Correspondence","Korrespondanse"
"Correspondence report","Komprimert rapport"
"Correspondence report (filename)","Komprimert rapport"
"could not center on gps description","Kunne ikke sentrere på GPS-posisjon da den var utenfor tegningen"
"could not center on gps title","Kan ikke sentrere"
"Could not open attachment","Det kunne ikke opprettes forbindelse til serveren."
"Could not reach the server","Er du tilkoblet Internett?"
"could_not_find_comment","Kommentaren ble ikke funnet.\n\nNavigerer til plass."
"Country","Land"
"Craftsman","Håndverker"
"Create","Opprett"
"Create Construction","Opprett entreprise"
"Create demo user","Opprett demobruker"
"Create empty checklist","Opprett tom sjekkliste"
"Create empty control plan","Opprett tom kontrollplan"
"Create inspection","Lagre rapport"
"Create new","Opprett ny"
"Create role","Opprett rolle"
"Create roles","Opprett roller"
"Create send","Opprett, send"
"Create user","Opprett bruker"
"Create user","Opprett bruker"
"Create user","Opprett bruker"
"Create user","Opprett bruker"
"Create user","Opprett bruker"
"Create user","Opprett bruker"
"Create user","Opprett bruker"
"create:","Opprett: {0}"
"created","Opprettet"
"Created","Opprettet"
"Created by","Opprettet av"
"Created by (email)","Opprettet av (e-mail)"
"Created only via checklists","Opprettes kun via sjekklister"
"created_by","Opprettet av"
"Creates tasks","Oppretter oppgaver"
"credetials_fail","E-mailadresse eller passord er feil"
"Criteria","Kriterium"
"custom_filter","Brukerfilter"
"Daily summary","Daglig sammendrag"
"Dalux administration","Dalux-administrasjon"
"Dalux daily","Dalux Daglig"
"Dashboard","Dashboard"
"Data fields","Datafelter"
"Data removed from {0} checklists","Lagres endringene vil det bli <font style=""color:#DD0000"">slettet</font> data fra {0} sjekklister."
"Database","Database"
"date","Dato"
"Date","Dato"
"dateformat","d. MMM yyyy, HH:mm"
"dateformat_air","d. MMM yyyy, HH:mm"
"dateformat_air_checklist","d. MMM yyyy, HH:mm"
"dateformat_deadline","d. MMM yyyy"
"dateformat_short","d. MMM"
"dateformatDayYear","d. MMMM yyyy"
"deadline","Deadline"
"Deadline","Deadline"
"Deadline changed","Deadline endret"
"Default description","Standardbeskrivelse"
"Default description","Standardbeskrivelse"
"Deficiency","Mangel"
"Delegated to","Delegert til"
"Delete","Slett"
"delete","Slett"
"Delete all","Slett alle"
"Delete all tasks","Slett alle oppgaver"
"Delete building","Slett bygning"
"Delete checklist","Slett sjekkliste"
"Delete control plan","Slett kontrollplan"
"Delete draft","Slett kladd"
"Delete Draft","Slett kladd"
"Delete draft","Slett kladd"
"Delete draft (draft)","Slett kladd"
"Delete draft (update)","Slett utkast"
"Delete draft alternative","Slett utkast"
"Delete drawing","Slett omriss"
"Delete from outbox","Slett fra Ikke sendte"
"Delete photo","Slett foto"
"Delete selection","Fjern markering"
"Delete tasks","Slett oppgaver"
"Delete view","Slett visning"
"Delete x tasks","Slett oppgaver: {0}x {1}"
"Delete zone","Slett sone"
"Demo user","Demobruker"
"Descending Z-A","Fallende Z-A"
"description","Beskrivelse"
"Description","Beskrivelse"
"Detail","Detaljtegninger"
"Detail reports","Detaljrapporter"
"Detailed","Detaljert"
"Deviation","Avvikelse"
"DF",""
"Disabled","Deaktivert"
"Discard changes","Slett endringer"
"Discipline","Tilsynsområde"
"Discipline (drawing)","Fag"
"Discipline already exists","Tilsynsområdet er allerede opprettet for denne entreprisen"
"Disciplines","Tilsynsområder"
"Displays","Viser"
"Do you accept the invitation to the project {0}?","Vil du akseptere invitasjonen til prosjektet {0}?"
"Do you want to save changes to the draft?","Vil du lagre endringene i kladden?"
"Do you want to save the draft?","Vil du lagre kladden?"
"document file types","*.pdf"
"Documents","Dokumenter"
"Does not contain","Inneholder ikke"
"Done","Ferdig"
"Download","Hent"
"Download PDF","Hent PDF"
"Downloading checklist...","Henter sjekkliste..."
"Downloading report...","Henter rapport..."
"Downloading task {0} of {1}","Henter oppgave {0} av {1}"
"Draft","Kladde"
"Draft early version, change location","<center>OBS!<br/><br/>Kladden er opprettet med en tidligere versjon av Dalux Field. Posisjonen må oppdateres.<br/><br/>Husk å oppdatere din mobil-app jevnlig.</center>"
"Drafts","Kladder"
"Drawing","Tegning"
"Drawing information","Tegningsinformasjon"
"Drawing updated {0}","Tegning oppdatert {0}"
"Drawing with tasks","Tegning med oppgaver"
"Drawings","Tegninger"
"dRofus integration","dRofus-integrasjon"
"Copy row","Kopier rekke"
"Duplicate",""
"DUT_MILLIMETERS",""
"DUT_SQUARE_METERS",""
"DV",""
"Economy","Økonomi"
"Economy changed","Økonomi endret"
"edit","Rediger"
"Edit","Rediger"
"Edit building","Rediger bygning"
"Edit building model file","Rediger bygningsmodell"
"Edit persons","Rediger personer"
"Edit photo","Rediger foto"
"Edit project data","Rediger prosjektdata"
"Edit properties","Rediger egenskaper"
"Edit role","Rediger rolle"
"Edit site data","Rediger plassdata"
"Edit user","Rediger bruker"
"Edit zone","Rediger sone"
"Edit zones","Rediger soner"
"Edit contract","Rediger entreprise"
"element updated?","Bygningsdelen ble ikke funnet. Posisjonen må oppdateres.<br/><br/>Har tegningsmaterialet blitt endret?"
"element_properties","Egenskaper"
"Elevation","Høyde"
"Elevation lower","Kote, nedre"
"Elevation upper","Kote, øvre"
"ellipse","Ellipse"
"email","E-mail"
"Email","E-mail"
"Email for new tasks","E-mail ved nye oppgaver"
"Email log","E-mail-logg"
"Email settings","E-mail-oppsett"
"Email settings (ribbon)","E-mail-oppsett"
"Email with daily summary","E-mail med daglig sammendrag"
"email:","E-mail:"
"empty_list","Listen er tom"
"Enable","Bruk"
"Enable checklists","Slå på sjekklister"
"Enable photos","Anvender bilder"
"Enabled","Aktivert"
"EngineeringPlan","Konstruksjonsplaner"
"Enter discpline","Skriv inn tilsynsområde"
"Enter title","Skriv inn tittel"
"enterprise","Firma"
"Entire list","Hele listen"
"Equals","Lik med"
"error","Feil"
"Error","Feil"
"Error","Feil"
"Error downloading offline data","Kunne ikke hente data"
"Excel","Excel"
"Excel and locations","Excel og posisjoner"
"Excel and locations","Excel og posisjoner"
"Existing","Eksisterende"
"existing","Eksisterende"
"existing task restricted to {0}","Eksisterende oppgave: Begrenset til '{0}'"
"Export","Eksporter"
"Export all","Eksporter alt"
"Export failed","Eksporten kunne ikke gjennomføres"
"Export overview","Eksporter oversikt"
"Fictive user","Fiktiv bruker"
"Field definition","Feltdefinisjon"
"Field type","Felttype"
"Fields","Felter"
"File","Fil"
"File could not be downloaded","Filen kunne ikke hentes"
"File to upload","Fil til opplasting"
"Filename","Filnavn"
"Files","Filer"
"Files to upload","Filer til opplasting"
"Fill in","Fyll ut"
"Filters","Filtre"
"find","Finn"
"First levels","Første"
"First name","Fornavn"
"first_name","Fornavn"
"Floor","Etasje"
"Floor name","Etasjenavn"
"Floor plan","Plan"
"Floor plans","Plantegninger"
"Floor properties","Egenskaper for etasje"
"floor updated?","Plantegningen ble ikke funnet. Posisjonen må oppdateres.<br/><br/>Har tegningsmaterialet blitt endret?"
"floor_name","Etasjenavn"
"Floorplan","Etasjeplan"
"FloorPlan","Etasjeplaner"
"floorplans","Etasjeplaner"
"Floorplans","Etasjeplaner"
"floors","Planer"
"Floors","Planer"
"flow_configuration","Anvendt flow"
"flow_configuration_definition","Definisjon av flow:"
"Folder","Mappe"
"Folder tools","Mappeverktøyer"
"Foreman","Formann"
"found","funnet"
"From camera","Fra kamera"
"From drawing","Fra tegning"
"From gallery","Fra galleri"
"General problem","Generell feil"
"Generate report","Generer samlet rapport"
"Generating document","Genererer dokument"
"Generating picture","Genererer bilde"
"Generating report","Genererer rapport..."
"Generating report {0}","Genererer rapport {0}"
"Get Revit plug-in","Hent Revit-plug-in"
"GIS location","GIS-posisjon"
"GIS placement not chosen","Plassen er ikke plassert på GIS"
"Go to location","Vis posisjon"
"gps accuracy timeout description","GPS kunne ikke kobles til. Sjekk at du har aktivert GPS i innstillingene på din mobilenhet, samt at du mottar GPS-signal."
"gps accuracy timeout title","GPS"
"gps accuracy too coarse description","Nøyaktigheten på GPS er for upresis til å kunne vises (mer enn 40 meter)"
"gps accuracy too coarse title","GPS"
"gps not enabled description","GPS kunne ikke kobles til. Sjekk at du har aktivert GPS i mobilenhetens innstillinger."
"gps not enabled title","GPS"
"Greater than","Større enn"
"Greater than equals","Større eller lik med"
"Green","Grønn"
"Grid","Gitter"
"Header","Sidehode"
"height","Høyde"
"Help text","Hjelpetekst"
"Home","Hjem"
"i_accept",""
"ID","ID"
"image file types",""
"images","Bilder"
"Images","Bilder"
"Import","Importer"
"Import complete","Prosjektoppsettet ble importert"
"Import from","Importer fra"
"Import from file","Importer fra fil"
"Import from filesystem","Importer fra filsystem"
"Import from projects","Importer fra prosjekter"
"Inactive user","Inaktiv bruker"
"Inbox","Innboks"
"Inbox (folder)","Innboks"
"Include signing field",""
"Include attachments",""
"Include tasks",""
"Info","Info"
"info 500+ options","Det er mer enn 2000 unike muligheter.\nBruk søkefilteret nedenfor."
"info add building name","Bygningsnavn kan ikke stå tomt!"
"info admin edits work description","Kun en administrator kan redigere arbeidsbeskrivelsene.\nSe hvem  som er administrator under Brukere, nedenfor Oppsett."
"info another user created this task","En annen bruker har opprettet Oppgaven. Kun denne brukeren kan se og redigere Oppgaven."
"info app update","Oppdater Dalux Field<br/><br/>Husk å synkronisere ikke sendte data før du oppdaterer"
"info batch deny assign wd","Det er kun mulig å tildele flere oppgaver på en gang når alle oppgavene er innenfor samme område og arbeidsbeskrivelse.\n\nBegrens markering. Filtrer evt. på kolonnen tilsynsområde og arbeidsbeskrivelse hvis disse benyttes."
"info batch deny reply","Det er kun mulig {0} flere oppgaver på en gang så lenge de markerte oppgavene kan endres av deg.\n\nHar du skriverettigheter til alle oppgavene?\nEr du i den rette mappen? \n\nFjern markering av oppgaver du ikke lenger kan endre."
"info building incomplete","Bygningsmodellen ble nylig oppdatert og klargjøres for øyeblikket til visning. Visning er derfor ikke tilgjengelig akkurat nå."
"info building queued analysis","Bygningen oppdateres. Prøv igjen senere."
"info building update failed","Oppdatering feilet. Kontakt Dalux."
"info building updating 3d","Tegningsdata oppdateres. Prøv igjen senere."
"info cannot edit work description","Arbeidsbeskrivelse kan kun endres hvis dennes overordnede ikke har noen arbeidsbeskrivelse. Kun administratorer kan endre arbeidsbeskrivelse for seg selv."
"info checklist conflict","<p align=""center"">Sjekklisten er endret fra en annen side.<br/>Endringene overskrives ved å velge Lagre.<br/><br/><b>Klikk for å se endringer</b></p>"
"info checklist not sent retry","Sjekklisten ble ikke lagret på serveren.<br/><br/>Trykk på Lagre for å prøve igjen."
"info checklist offline","Denne sjekklisten er ikke tilgjengelig offline"
"info commit checklist first","<P ALIGN=""center"">Bilde kunne ikke knyttes til sjekkliste.<br />Last opp sjekkliste eller slett bildet.</P>"
"info company has users","Kan ikke fjerne et firma med brukere"
"info connection lost","Ingen internettforbindelse"
"info contract uses company","Firmaet brukes på en eller flere entrepriser"
"info credetials fail","Brukernavn og kode kunne ikke verifiseres"
"info demo site","Dette er et demoprosjekt. Du kan derfor ikke redigere BIM-oppsettet."
"info document ready","Dokumentet er ferdig."
"info document ready download","Dokumentet er ferdig. Last ned?"
"info email not validated","e-mailadressen er ennå ikke bekreftet"
"info empty list","Listen er tom"
"info field missing","'{0}' mangler"
"info image load failed","Bildet kunne ikke hentes"
"info invalid email","E-mailadressen er ikke gyldig"
"info invalid password","Passordet ditt må inneholde minst 6 tegn."
"info invalid roleworkdescription delete","Kan ikke fjerne arbeidsbeskrivelser som er i bruk."
"info invited","<p align=""center"">Invitasjon til prosjektet '{0}'</p>"
"info isnan {0}","Den inntastede verdien for '{0}' er ikke et tall"
"info logged in","Du ble logget inn"
"info logged out","Du ble logget ut"
"info mail sent {0}","Det ble sendt en mail til adressen '{0}'"
"info must select assignee","Det skal velges en ansvarlig."
"info must update task","Må ha internettforbindelse for å kunne sende denne oppgaven."
"info new user added mail sent","Det ble sendt en invitasjonsmail.\n\nBrukeren aktiveres når e-mailadressen har blitt bekreftet via lenken i invitasjonsmailen og brukeren opprettet i systemet."
"info no bim","Intet tegningsmateriale. Last opp under Oppsett."
"info no company selected","Du har ikke valgt et firma."
"info no creator role","<p align=""center"">Prosjektoppsettet er endret<br/>Du har ikke lenger rettigheter til å opprette oppgaver</p>"
"info no delete company","Firma kan ikke fjernes da det er tilknyttet brukere til dette firmaet.\n\nFjern brukerne fra firmaet først."
"info no delete role","Kan ikke slette en rolle som har underordnede. \n\nHvis det er en ny person som erstatter denne personen skal denne rollen ikke slettes, men personen skal utskiftes."
"info no delete user organisation","Bruker kan ikke fjernes da brukeren er en del av organisasjonen.\n\nFjern først brukeren fra organisasjonen."
"info no delete user substitute","Bruker kan ikke fjernes da brukeren er stedfortreder for: {0} ({1})\n\nFjern først brukeren fra organisasjonen."
"info no discipline","Det må skrives inn et tilsynsområde."
"info no permission","Du har ikke rettigheter til å redigere her."
"info no title","Det må skrives inn en tittel."
"info no update role","<p align=""center"">Rapporten er endret.<br/>Du kan ikke lenger oppdatere denne rapporten.<br/>Har saken blitt avsluttet eller endret?</p>"
"info none selected","Det er ikke valgt noen oppgaver"
"info non-existing assignee role","<p align=""center"">Prosjektoppsettet er endret<br/>Oppgaven kan ikke lenger tildeles til denne personen</p>"
"info non-existing assignee wd","<p align=""center"">Prosjektoppsettet er endret<br/>Oppgaven kan ikke lenger tildeles til denne personen</p>"
"info non-existing role","<p align=""center"">Prosjektoppsettet er endret<br/>Din angitte rolle gir ikke rettighet til å endre Oppgaven</p>"
"info non-existing substitute","<p align=""center"">Prosjektoppsettet er endret<br/>Du har ikke lenger rettigheter til å endre oppgaver</p>"
"info not self superior","Det er ikke mulig å ha seg selv som overordnet"
"info offline finding location","Offline<br/>Anvender nærmeste tilgjengelige posisjon"
"info offline minimodel","Offline<br/>Internett er ikke tilkoblet og minimodellen er ikke tilgjengelig offline."
"info offline minimodel frame","Offline<br/> Internett er ikke tilkoblet og denne vinkelen er ikke tilgjengelig offline."
"info offline new visit 2d","Internett er ikke tilkoblet og plantegningen er ikke tilgjengelig offline."
"info offline new visit 3d","Internett er ikke tilkoblet og det er ikke noen posisjoner tilgjengelige på denne etasjen."
"info open draft","<p align=""center"">Kladd<br/><b>Klikk for å vise rapporten</b></p>"
"info password no match","Passordene er ikke like."
"info picture ready","Hent bilde"
"info picture ready download","Bildet er klar for nedlasting"
"info preview only","Systemet er ikke tilgjengelig for demobruker."
"info processing 3d","Visning oppdateres. Prøv igjen senere."
"info program error","<p align=""center"">Det har skjedd en programfeil<br/>Kontakt Dalux (support@dalux.com)</p>"
"info project setting error","<p align=""center"">Uforutsett prosjektoppsett<br/>Kontakt Dalux (support@dalux.com)</p>"
"info remove company","Er du sikker på du vil slette dette Firmaet?"
"info remove self","Du holder på å fjerne deg selv fra prosjektet.\n\nFortsett?"
"info remove work description","Vær oppmerksom på at oppgaver opprettet med denne arbeidsbeskrivelsen ikke lenger kan grupperes ut fra denne egenskapen.\nBrukere tilknyttet arbeidsbeskrivelsen blir automatisk fjernet fra beskrivelsen.\n\nFortsett?"
"info report has update in folder","<p align=""center"">Merk!<br/>Det er en oppdatering til oppgaven i mappen {0}</p>"
"info report has updates in folder","<p align=""center"">Merk!<br/>Det er oppdateringer til oppgaven i mappen {0}</p>"
"info report has updates in folders","<p align=""center"">Merk!<br/>Det er oppdateringer til oppgaven i mappen {0}</p>"
"info report ready","Rapporten er ferdig."
"info report ready download","Rapporten er ferdig. Last ned?"
"info role name not empty","Angi rollenavn"
"info server error","Det oppstod en feil på serveren"
"info site manager change","Hvis du som byggeleder skifter deg selv ut vil du ikke lenger kunne se noen brukere.\n\nDenne handlingen kan ikke angres!"
"info synchronizing no open","Ikke sendte beskjeder sendes. Inntastinger kan ikke vises samtidig."
"info task altered","<p align=""center"">Oppgaven er endret<br/>Oppdateringen ble ikke sendt.<br/><b>Klikk for å åpne oppgaven</b></p>"
"info task not available","<P ALIGN=""center"">Rapporten er ikke tilgjengelig</P>"
"info task offline","<P ALIGN=""center"">Denne rapporten er ikke tilgjengelig offline</P>"
"info task sent update checklist","Oppgaven er sendt til serveren. Oppdater sjekklisten for å åpne den nyeste rapporten."
"info too many tasks","I dette området: {0} oppgaver"
"info unhandled error","Det oppstod en uventet feil."
"info user added mail sent","Brukeren er nå tilføyd og det er sendt en invitasjonsmail.\n\nBrukeren aktiveres når e-mailadressen er bekreftet via lenken i invitasjonsmailen."
"info user invitation accepted","Bruker opprettet og invitasjon akseptert"
"info user not found create?","Brukeren ble ikke funnet. Vil du opprette denne brukeren?"
"info wait synchronizing tasks","Oppgaven kan ikke vises når utboksen synkroniseres. Prøv igjen om et øyeblikk."
"info wizard new user","Personen har ikke blitt opprettet tidligere i ditt Dalux Field-Prosjekt. Det vil bli sendt en invitasjon når det trykkes Opprett."
"Insert","Sett inn"
"Insert comment","Kommenter"
"Insert text","Sett inn tekst"
"Inspection","Tilsyn"
"Inspection note","Tilsynsnotat"
"Instant mails","Mail ved nye oppgaver"
"Instructions","Instruksjoner"
"Interval","Intervall"
"Invalid password","Ugyldig kode"
"invalid_flow","Ugyldig handling"
"invalid_flow_text","Handlingen er ikke tillatt for denne brukeren (er oppgaven endret?)"
"invalid_user","Ugyldig bruker"
"invalid_user_text","Logindata eller rettigheter har blitt endret"
"Invitation","Invitasjon"
"Invitation accepted (date)","Invitasjon akseptert"
"Invitation sent (date)","Invitasjon sendt"
"Invitation to x from y","Invitasjon til {0} fra {1}"
"Invitations","Invitasjoner"
"Invite user","Inviter bruker"
"Invoice e-mail","Faktura-e-mail"
"Invoice information","Fakturainformasjon"
"Invoice note","Fakturanote"
"Is empty","Er tom"
"Is not empty","Er ikke tom"
"is_not_available","er ikke tilgjengelig"
"IT Administrators","IT-administratorer"
"Landscape","Liggende"
"language","da"
"Language","Sprog"
"language (splash screen)","da"
"language_code","da-dk"
"Last editet","Sist redigert"
"Last edited","Sist redigert"
"Last modified","Sist endret"
"Last modified by","Sist endret av"
"Last name","Etternavn"
"Last updated","Sist oppdatert"
"Last updated by","Sist oppdatert av"
"Last uploaded by","Sist lastet opp av"
"last_name","Etternavn"
"Less than","Mindre enn"
"Less than equals","Mindre eller lik med"
"Less than one minute remaining","Mindre enn ett minutt igjen"
"Let us know","Gi oss beskjed"
"lets_know","Gi oss beskjed"
"Level","Etasje"
"Levels","Nivåer"
"List","Liste"
"loading","Henter"
"Loading (from disk)","Innleser"
"Loading buildings","Henter bygninger"
"Loading data","Henter data"
"Loading drafts...","Henter kladder"
"Loading list data","Innleser listedata"
"Loading list data...","Henter listedata..."
"located on plan","Posisjon på plan"
"located on plan and view","Posisjon på plan og view"
"location","Posisjon"
"Location","Posisjon"
"Location changed","Posisjon endret"
"location:","Posisjon:"
"Location: {0}","Posisjon: {0}"
"Log in","Logg inn"
"Log out","Logg ut"
"log_in","Logg inn"
"log_out","Logg ut"
"Logged in as","Logget inn som"
"logged_in_as","Logget inn som"
