#	0xc3c3c3
of	/
Allow cookies	Hyväksy evästeet (<a href='cookies.htm' target='_blank'>lue lisää</a>)
Allow create tasks	Voi luoda tehtäviä
Allow create tasks colleagues	Voi luoda tehtäviä työtovereille
Allow create users	Voi luoda käyttäjiä
already created	jo luotu
already exists	jo olemassa
Altered	Muutettu
Annotate	merkkaa kuva
Anonymous user	anonyymi käyttäjä
Approve	Hyväksy, sulje
Approve followup	Hyväksy, seuraa
Approved	Hyväksytty, suljettu
Approved (date)	Hyväksytyt
Approved (folder)	Hyväksytyt
Approved by	Hyväksytty, suljettu
Approved closed (folder)	Hyväksytyt, suljetut
Approved followup	Hyväksytty, seuraa
Approved followup (folder)	Hyväksytyt, seuraa
Approved, followup by	Hyväksytty, seurattu 
ApprovedFollowup (folder)	Hyväksytyt, seuraa
Architecture (model)	Arkkitehtuuri
Archive (folder)	Valmistunut
Are you sure you want to delete building "{0}"?	Oletko varma, että haluat poistaa rakennuksen "{0}"?
Are you sure you want to delete this checklist?	Oletko varma, että haluat poistaa tämän tarkistuslistan?
Are you sure you want to delete this control plan?	Oletko varma, että haluat poistaa tämän valvontasuunnitelman?
area	Alue
Area (discipline)	Alue
AreaPlan	Aluesuunnitelmat
arrow	Nuoli
Ascending A-Z	Nouseva A-Ö
Assign	Välitä
Assign to	Välitä
assigned	Välitti
Assigned	Välitti
Assigned by	Välittänyt
Assigned to	Välitti
Assigned to	Välitti
Assigned to {0}	Välitti <u>{0}</u>
assignee	Valtuutettu
Assignee	Valtuutettu
Associate checklist	Associate with checklist
Associated checklist	Liittyvä tarkistuslista
Association comment	Comment on association
Attention to	Att
Auto	Auto
Available offline	Saatavissa offline
Awaiting approval (folder)	Odottaa hyväksyntää
AwaitingApproval (folder)	Odottaa hyväksyntää
back	Takaisin
Back	Takaisin
Bar	Sarake
Base data	Kantatiedot
Before	Ennen
BIM object	Rakennusosa
BIM object type	Rakennusosan tyyppi
bottom right	alhaalla oikealla
box	Laatikko
Bring to front	Tuo eteen
Building	Rakennus
Building incomplete	Rakennus ei käytettävissä
Building is not ready	Rakennus ei ole valmis
Building name	Rakennusnimi
Building overview	Rakennus yleiskatsaus
Building status	Rakennus tila
building updated?	Rakennusta ei löytynyt. Sijainti on päivitettävä.<br/><br/> Onko piirrustusmateriaalit päivitetty?
building_incomplete	Rakennus ei käytettävissä
building_incomplete_text	Rakennus on äskettäin päivitetty ja sitä valmistellaan parhaillaan näytettäväksi mobiililaitteessa.Rakennus ei ole saatavilla jonkin aikaa.
building_model_analysing	Rakennusta päivitetään
building_model_not_uploaded	Rakennusmallia ei ole vielä ladattu
building_model_pending	Rakennusta on suunniteltu päivitettäväksi
building_model_queued_reanalysis	Rakennus on tällä hetkellä jonossa uudelleenanalysointiin
building_model_waiting	Rakennus on tällä hetkellä jonossa analysointiin
building_name	Rakennusnimi
building_name	Rakennusnimi
building_name_cannot_be_empty	Rakennusnimi ei saa olla tyhjä!
building_name_cannot_be_empty	Rakennusnimi ei saa olla tyhjä!
building_overview	Rakennus yleiskatsaus
buildings	Rakennukset
Buildings	Rakennukset
by	by
Can be approved upon creation	Voidaan hyväksyä luomisen yhteydessä
Can delete when	On ainoastaan mahdollista poistaa kaikki tehtävät, jos projektissa on alle 50 tehtävää.
cancel	Peruuta
Cancel	Peruuta
CANCEL	PERUUTA
Cancel changes	Poista muutokset
Cannot remove project owner	Projektiomistajaa ei voida poistaa
Category	Luokka
Caution	Varoitus
CeilingPlan	Sisäkatto
change	Muuta
Change	Muuta
Change location	Muuta sijainti
Change to automatic publishing	Vaihda automaattiseen julkaisuun
Change to manual publishing	Vaihda manuaaliseen julkaisuun
change...	Muuta
changed	Muutettu
changed from	Muutettu
changed_by	Muutettu
changed_from	Muutettu
Checklist	Tarkistuslista
Checklist association changed	Checklist association changed
Checklist changes will be saved	Muutokset tarkistuslistaan tallennetaan.\n Haluatko jatkaa?
Checklist closed	Tarkistuslista suljettu
Checklist no.	Tarkistuslista no.
Checklist report	Tarkistuslista raportti
Checklist template	Tarkistuslista malli
Checklist template order	Tarkistuslista malli järjestys
Checklists	Tarkistuslistat
Checklists disabled	Tarkistuslistat ei käytössä
Checklists enabled	Tarkistuslistat käytössä
Choose	Valitse
Choose...	Valitse
city	Kaupunki
City	Kaupunki
City	Kaupunki
Clear	Poista
Clear annotations	Poista merkinnät
Click on the map to place origo	Klikkaa karttaa sijoittaaksesi origo
Click to open	Klikkaa avataksesi
Client error	Asiakasvirhe
close	Sulje
Close	Sulje
Closed (singular)	Valmistunut
Color	Väri
Color code	Värikoodaus
Color code changed	Värikoodaus muutettu
Combined	Yhdistetty
Combined report	Yhdistetty raportti
Comment	Kommentti
Compact	Kompakti
Companies	Yritykset
company	Yritys
Company	Yritys
Company name	Yritysnimi
Complete	Valmis
Completed	Valmiiksi raportoitu
Completed (checklist)	Valmistunut
Completed (folder)	Valmiiksi raportoitu
Completed by	Oikaistu
Complexity	Monimutkaisuus
Compressing image	Pakataan kuvaa…
Compressing image	Pakataan kuvaa…
Confirm	Vahvista
Confirm delete construction	Oletko varma, että haluat poistaa tämän urakan?
confirm delete site	Oletko varma, että haluat poistaa tämän sivuston?
Confirm deletion	Vahvista poisto
Confirm password	Vahvista salasana
confirm_password	Vahvista salasana
Confirmation required	Vahvistus tarvitaan
Connection problems	Yhteysongelmia
Connection problems	Yhteysongelmia\n\nYritä uudelleen...
Connection problems	Yhteysongelmia
connection_lost	Yhteysongelmia
connection_lost_text	Ei internet-yhteyttä
construction	Urakka
Construction	Urakka
constructions	Urakkasopimukset
Constructions	Urakat
Contact Dalux	Ota yhteyttä Daluxiin
Contact information	Yhteystiedot
Contact IT Administrators	Ota yhteyttä ylläpitoon
Contains	Sisältää
Continue logout	Kirjaudu ulos?
Contract	Urakka
Contract management	Urakka hallinta
Contractor	Urakoitsija
Control plan	Valvontasuunnitelma
Control plan area	Valvontasuunnitelma-alue
Control plans	Valvontasuunnitelmat
Copy from other project	Kopioi toisesta projektista
copy_link	Kopioi linkki
Correspondence	Kirjeenvaihto
Correspondence report	Pakattu raportti
Correspondence report (filename)	Pakattu raportti
could not center on gps description	GPS-sijainnin keskittäminen ei onnistunut, sillä piste sijaitsee piirrustuksen ulkopuolella.
could not center on gps title	GPS-sijainti kaukana
Could not open attachment	Ei voitu avata liitettä. {0}.\n Onko tiedosto viallinen?
Could not reach the server	Palvelimeen ei saatu yhteyttä. Oletko yhteydessä internetiin?
could_not_find_comment	Ei löytänyt linkissä määriteltyä kommenttia. n\n Uudelleenohjataan käyttäjän sivustolle.
Country	Maa
Craftsman	Rakennusmies
Create	Luo
Create Construction	Luo urakka
Create demo user	Luo demo käyttäjä
Create empty checklist	Luo tyhjä tarkistuslista
Create empty control plan	Luo tyhjä valvontasuunnitelma
Create inspection	Tallenna raportti
Create new	Luo uusi
Create role	Luo rooli
Create roles	Luo rooleja
Create send	Luo, lähetä
Create user	Luo käyttäjä
Create user	Luo käyttäjä
Create user	Luo käyttäjä
Create user	Luo käyttäjä
Create user	Luo käyttäjä
Create user	Luo käyttäjä
Create user	Luo käyttäjä
create:	Luo: {0}
created	Luotu
Created	Luotu
Created by	Luotu
Created by (email)	Luotu (sähköposti)
Created only via checklists	Luodaan vain tarkistuslistojen kautta
created_by	Luotu
Creates tasks	Luo tehtäviä
credetials_fail	Käyttäjätunnusta ja salasanaa ei voitu vahvistaa
Criteria	Kriteerit
custom_filter	Käyttäjäsuodatin
Daily summary	Päivittäinen yhteenveto
Dalux administration	Dalux ylläpito
Dalux daily	Dalux päivittäin
Dashboard	Dashboard
Data fields	tietokentät
Data removed from {0} checklists	Tallennuksen jälkeen tulee <font color="#DD0000">poistumaan</font> tietoja {0} tarkistuslistasta.
Database	Database
date	Päivämäärä
Date	Päivämäärä
dateformat	d. MMM yyyy, HH:mm
dateformat_air	d. MMM yyyy, HH:mm
dateformat_air_checklist	d. MMM yyyy, HH:mm
dateformat_deadline	d. MMM yyyy
dateformat_short	d. MMM
dateformatDayYear	d. MMMM yyyy
deadline	Määräaika
Deadline	Määräaika
Deadline changed	Määraika muutettu
Default description	Oletuskuvaus
Default description	Oletuskuvaus
Deficiency	Puute
Delegated to	Delegoitu
Delete	Poista
delete	Poista
Delete all	Poista kaikki
Delete all tasks	Poista kaikki tehtävät
Delete building	Poista rakennus
Delete checklist	Poista tarkistuslista
Delete control plan	Poista valvontasuunnitelma
Delete draft	Poista luonnos
Delete Draft	Poista luonnos
Delete draft	Poista luonnos
Delete draft (draft)	Poista luonnos
Delete draft (update)	Poista luonnos
Delete draft alternative	Poista luonnos
Delete drawing	Poista piirustus
Delete from outbox	Poista lähtevistä
Delete photo	Poista kuva
Delete selection	Poista valitut
Delete tasks	Poista tehtäviä
Delete view	Poista näkymä
Delete x tasks	Poista tehtävät: {0}x {1}
Delete zone	Poista vyöhyke
Demo user	Demo käyttäjä
Descending Z-A	Laskeva Z-A
description	Kuvaus
Description	Kuvaus
Detail	Yksityiskohta
Detail reports	yksityiskohtaiset raportit
Detailed	Yksityiskohtainen
Deviation	Poikkeama
DF	DF
Disabled	Disabled
Discard changes	Hylkää muutokset
Discipline	Valvonta-alue
Discipline (drawing)	Valvonta-alue
Discipline already exists	Valvonta-alue on jo olemassa tässä urakassa
Disciplines	Valvonta-alueet
Displays	Näytetään
Do you accept the invitation to the project {0}?	Hyväksytkö kutsun projektiin {0}?
Do you want to save changes to the draft?	Haluatko tallentaa luonnoksen muutokset?
Do you want to save the draft?	Haluatko tallentaa luonnoksen?
document file types	*.pdf
Documents	Asiakirjat
Does not contain	Ei sisällä
Done	Valmis
Download	Lataa
Download PDF	Lataa PDF
Downloading checklist...	Lataa tarkistuslista…
Downloading report...	Lataa raporttia…
Downloading task {0} of {1}	Lataa tehtävää {0}/{1}
Draft	Luonnos
Draft early version, change location	<center>Huom!<br/><br/>Luonnos on luotu aikaisemmalla Dalux Field versiolla. Päivitä sijainti. <br/><br/>Muista päivittää Dalux Field viimeisimpään versioon.</center>
Drafts	Luonnokset
Drawing	Piirrustus
Drawing information	Piirrustuksen tietoja
Drawing updated {0}	Drawing updated {0}
Drawing with tasks	Piirrustus tehtävillä
Drawings	Piirrustukset
dRofus integration	dRofus integration
Copy row	Kopioi rivi
Duplicate	Duplicate
DUT_MILLIMETERS	mm
DUT_SQUARE_METERS	m²
DV	DV
Economy	Talous
Economy changed	Talous muuttunut
edit	Muokkaa
Edit	Muokkaa
Edit building	Muokkaa rakennusta
Edit building model file	Muokkaa rakennusmallia
Edit persons	Muokkaa henkilöitä
Edit photo	Muokkaa kuvaa
Edit project data	Muokkaa projektin tietoja
Edit properties	Muokkaa ominaisuuksia
Edit role	Muokkaa rooleja
Edit site data	Muokkaa sivuston tietoja
Edit user	Muokkaa käyttäjää
Edit zone	Muokkaa vyöhyke
Edit zones	Muokkaa vyöhykkeitä
Edit contract	Muokkaa urakkaa
element updated?	Rakennusosaa ei löytynyt. Sijainti on päivitettävä.<br/><br/> Onko piirrustusmateriaalit päivitetty?
element_properties	Ominaisuudet
Elevation	Korkeus
Elevation lower	Korkeus, alempi
Elevation upper	Korkeus, ylempi
ellipse	Ellipsi
email	sähköposti
Email	sähköposti
Email for new tasks	Sähköposti uusiin tehtäviin
Email log	Sähköpostiloki
Email settings	Sähköpostiasetukset
Email settings (ribbon)	Sähköpostiasetukset
Email with daily summary	Sähköposti päivittäisellä yhteenvedolla
email:	sähköposti
empty_list	Lista on tyhjä
Enable	Mahdollista
Enable checklists	Mahdollista tarkistuslistat
Enable photos	Mahdollista kuvat
Enabled	Enabled
EngineeringPlan	Tekniset suunnitelmat
Enter discpline	Anna valvonta-alue
Enter title	Kirjoita otsikko
enterprise	Yritys
Entire list	Koko lista
Equals	Yhtä kuin
error	Virhe
Error	Virhe
Error	Virhe
Error downloading offline data	Virhe ladattaessa tietoja
Excel	Excel
Excel and locations	Excel ja sijainnit
Excel and locations	Excel ja sijainnit
Existing	Nykyinen
existing	Nykyinen
existing task restricted to {0}	Nykyinen tehtävä: Rajoitettu '{0}'
Export	Vie
Export all	Vie kaikki
Export failed	Vienti epäonnistui
Export overview	Vie yleiskatsaus
Fictive user	Kuvitteellinen käyttäjä
Field definition	Kentän määritelmä
Field type	Kentän tyyppi
Fields	Kentät
File	Tiedosto
File could not be downloaded	Tiedostoa ei voitu ladata
File to upload	Ladattava tiedosto
Filename	Tiedostonimi
Files	Tiedostot
Files to upload	Ladattava tiedosto
Fill in	Täytä
Filters	Filtterit
find	Löydä
First levels	Ensimmäinen
First name	Etunimi
first_name	Etunimi
Floor	Kerros
Floor name	Kerroksen nimi
Floor plan	Kerros
Floor plans	Kerrosten
Floor properties	Kerroksen ominaisuudet
floor updated?	Pohjapiirrosta ei löytynyt. Sijainti on päivitettävä.<br/><br/> Onko piirrustusmateriaalit päivitetty?
floor_name	Kerroksen nimi
Floorplan	Pohjapiirros
FloorPlan	Pohjapiirrustukset
floorplans	Pohjapiirrokset
Floorplans	Pohjapiirrokset
floors	Suunnitelmat
Floors	Suunnitelmat
flow_configuration	Sovellettu flow
flow_configuration_definition	Määritelty flow
Folder	Kansio
Folder tools	Kansion työkalut
Foreman	Työnjohtaja
found	löydetty
From camera	Kamerasta
From drawing	Piirrustuksesta
From gallery	Albumista
General problem	Yleinen ongelma
Generate report	Luo raportti
Generating document	Luo dokumenttia
Generating picture	Luo kuvaa
Generating report	Luo raporttia…
Generating report {0}	Luo raporttia {0}
Get Revit plug-in	Hae Revit liitäntä
GIS location	GIS sijainti
GIS placement not chosen	GIS sijaintia ei valittu
Go to location	Näytä sijainti
gps accuracy timeout description	GPS aktivointi epäonnistui. Tarkista laitteen asetuksista, että GPS on käytössä ja signaali on ok.
gps accuracy timeout title	GPS
gps accuracy too coarse description	GPS tarkkuus on liian epäselvä näytettäväksi (yli 40 metriä)
gps accuracy too coarse title	GPS
gps not enabled description	GPS aktivointi epäonnistui. Tarkista laitteen asetuksista, että GPS on käytössä.
gps not enabled title	GPS
Greater than	Suurempi kuin
Greater than equals	Suurempi kuin on yhtä kuin
Green	Vihreä
Grid	Ruudukko
Header	Otsikko
height	Korkeus
Help text	Ohjeteksti
Home	Koti
i_accept	Hyväksyn käyttää tätä ilmaista palvelua &quot;sellaisenaan&quot;
ID	ID
image file types	*.gif;*.png;*.jpg;*.jpeg
images	kuvat
Images	kuvat
Import	Tuo
Import complete	Projektiasetusten tuonti onnistui
Import from	Tuo
Import from file	Tuo tiedostosta
Import from filesystem	Tuo tiedostojärjestelmästä
Import from projects	Tuo projekteista
Inactive user	Passiivinen käyttäjä
Inbox	Saapuneet
Inbox (folder)	Saapuneet
Include signing field	Include attachments
Include attachments	Include attachments
Include tasks	Include tasks
Info	Tiedot
info 500+ options	Löytyy yli 2000 ainutlaatuista vaihtoehtoa.\n Käytä hakusuodatinta alla.
info add building name	Rakennusnimi ei saa olla tyhjä!
info admin edits work description	Vain ylläpitäjät voivat muokata toimenkuvia. \n Ylläpitäjät ovat lueteltu 'Käyttäjät' valikon alla (Asetukset-vasemmassa valikossa).
info another user created this task	Toinen käyttäjä on luonut tämän tehtävän. Vain tämä käyttäjä voi tarkastella tai muokata tehtävää.
info app update	Päivitä Dalux Field <br/><br/>Muista synkronoida lähettämättömät tiedot inna päivitystä
info batch deny assign wd	e on mahdollista vain määrittää useita tehtäviä kerralla, kun kaikki tiedot on samaa aluetta ja työnkuvaa. \n \nRajoita valintaa. Voit halutessasi käyttää suodatinta sarakkeessa Valvonta ja työnkuva.
info batch deny reply	Se on mahdollista vain {0} useita tehtäviä kerralla, kunhan sinulla on mahdollisuus muuttaa valitut tiedot. \n \n Onko sinulla kirjoitusoikeudet valittuihin tietoihin? \nOletko valinnut oikean kansion?\n\n Poista valitut tehtävät joita et voi enää muuttaa.
info building incomplete	Rakennus on äskettäin päivitetty ja valmistellaan parhaillaan näytettäväksi mobiililaitteessa.Rakennus ei ole saatavilla jonkin aikaa.
info building queued analysis	Rakennusta päivitetään. Yritä myöhemmin uudelleen.
info building update failed	Rakennuksen päivitys epäonnistui. Ota yhteytta Daluxiin.
info building updating 3d	Piirustuksia päivitetään. Yritä myöhemmin uudelleen.
info cannot edit work description	Työnkuva voidaan asettaa vain, jos nykyisen roolin työnjohtajalla ei ole työnkuva. Vain järjestelmänvalvoja voi muokata toimenkuvia itselleen.
info checklist conflict	<p align="center"> Tarkistuslista muutettiin muualla. <br/> Tallenna muutokset valitsemalla 'Tallenna'. <br/> <b> Klikkaa näyttääksesi muutokset </ b> </ p>
info checklist not sent retry	Tarkistuslistaa ei tallennettu. <br/> <br/>  Yritä uudelleen valitsemalla 'Tallenna'.
info checklist offline	Tämä tarkastuslista ei ole käytettävissä offline-tilassa
info commit checklist first	<P ALIGN="center">Kuvaa ei voitu yhdistää tarkistuslistaan.<br/> Lataa tarkistuslista tai poista kuva. <br/>
info company has users	Ei voida poistaa yritystä jolla on käyttäjiä
info connection lost	Ei internet-yhteyttä
info contract uses company	Yritys jolla on yksi tai useampi urakka
info credetials fail	Käyttäjätunnusta ja salasanaa ei voitu todentaa
info demo site	Tämä on demo projekti. Sinulla ole oikeutta muokata BIM asetuksia.
info document ready	Asiakirja on valmis.
info document ready download	Asiakirja on valmis. Lataa?
info email not validated	sähköpostiosoitetta ei ole vahvistettu
info empty list	Lista on tyhjä
info field missing	{0}' puuttuu
info image load failed	Kuvan lataus epäonnistui
info invalid email	Sähköpostiosoite ei kelpaa
info invalid password	Salasanan on oltava vähintään 6 merkkiä.
info invalid roleworkdescription delete	Ei voi poistaa toimenkuvia, jotka ovat käytössä.
info invited	<p align="center">Kutsu hankkeeseen '{0}'</p>
info isnan {0}	Määritetty arvo '{0}' ei ole numero
info logged in	Olet kirjautunut sisään
info logged out	Olet kirjautunut ulos
info mail sent {0}	Sähköposti lähetettiin '{0}'
info must select assignee	Vastuuhenkilö on valittava.
info must update task	Internet-yhteys tarvitaan päivittääkseen tämän tehtävän.
info new user added mail sent	Olemme lähettäneet kutsun sähköpostitse. \n \n Käyttäjä aktivoituu kun sähköpostiosoite on vahvistettu kutsussa olevan sähköpostilinkin kautta ja käyttäjä luotu järjestelmään.
info no bim	Ei BIM, CAD-tai PDF-tiedostoja. Lataa asetuksista.
info no company selected	Et ole valinnut yritystä.
info no creator role	<p align="center"> Projektiasetukset ovat muuttuneet <br/> Sinulla ei enää ole oikeutta luoda tehtäviä </ p>
info no delete company	Yritystä ei voida poistaa sillä käyttäjiä liittyy yritykseen.\n\n Poista ensin käyttäjät yrityksestä.
info no delete role	Ei voi poistaa roolia jolla on alaisia. \n\n Jos uusi henkilö korvaa nykyisen henkilön, ei roolia pidä poistaa. Valitse Muokkaa korvaaksesi henkilön.
info no delete user organisation	Käyttäjää ei voi poistaa, koska käyttäjä on osa organisaatiota. \n\nPoista käyttäjiä organisaatiosta poistamiseksi.
info no delete user substitute	Käyttäjää ei voi poistaa, koska käyttäjä: {0} ({1}) \n \n Poista käyttäjä ensin organisaatiosta.
info no discipline	Sinun on määritettävä valvonta-alue.
info no permission	Sinulla ei ole oikeuksia muokata tätä.
info no title	Otsikko on annettava.
info no update role	<p align="center"> Rapportti on muokattu <br/> Et voi enää päivittää raporttia. <br/> Onko asia muuttunut vai suljettu? </ p>
info none selected	Ei valittuja tehtäviä.
info non-existing assignee role	<p align="center"> Projektiasetukset ovat muuttuneet <br/>Tehtävää ei voida enää antaa tälle henkilölle</ p>
info non-existing assignee wd	<p align="center"> Projektiasetukset ovat muuttuneet <br/>Tehtävää ei voida enää antaa tälle henkilölle</ p>
info non-existing role	<p align="center"> Projektiasetukset ovat muuttuneet <br/> Nykyinen roolisi ei anna oikeutta muokata tätä tehtävää.</ p>
info non-existing substitute	<p align="center"> Projektiasetukset ovat muuttuneet <br/> Sinulla ei ole enää oikeutta muokata tätä tehtävää.</ p>
info not self superior	Ei ole mahdollista määritellä oma itsensä esimieheksi 
info offline finding location	Offline <br/> Käyttää lähintä mahdollista sijaintia
info offline minimodel	Offline<br/> Internet-yhteyttä ei ole ja mini-malli ei ole käytettävissä offline-tilassa.
info offline minimodel frame	Offline<br/> Internet-yhteyttä ei ole ja nykyinen kuvakulma ei ole käytettävissä offline-tilassa.
info offline new visit 2d	Offline<br/> Internet-yhteyttä ei ole ja nykyinen pohjapiirros ei ole käytettävissä offline-tilassa.
info offline new visit 3d	Offline<br/> Internet-yhteyttä ei ole ja kerroksen sijainnit eivät ole käytettävissä offline-tilassa.
info open draft	<p align="center">Luonnos<br/><b>Klikkaa nähdäksesi raportin</b></p>
info password no match	Salasanat eivät täsmää
info picture ready	Lataa kuva
info picture ready download	Kuva on valmis ladattavaksi
info preview only	Vain esikatselu on mahdollista näytemallista
info processing 3d	Näkymää päivitetään. Yritä myöhemmin uudelleen.
info program error	<p align="center">Ohjelmistovirhe<br/>Ota yhteyttä Daluxiin (support@daluxqa.com)</p>
info project setting error	<p align="center">Arvaamaton projektiasetus<br/>Ota yhteyttä Daluxiin (support@daluxqa.com)</p>
info remove company	Oletko varma, että haluat poistaa tämän yrityksen?
info remove self	Olet aikeissa poistaa itsesi projektista \n\nHaluatko jatkaa?
info remove work description	Ole tietoinen siitä, että tällä työnkuvalla luotuja tehtäviä ei voida enää ryhmitellä tämän kiinteistön perusteella. \nTyönkuva poistetaan automaattisesti kyseisistä rooleista. \n\nHaluatko jatkaa?
info report has update in folder	<p align="center"> Huomio! <br/> Päivitetty raportti löytyy kansiosta {0} </ p>
info report has updates in folder	<p align="center"> Huomio! <br/> Päivityksiä raporttiin löytyy kansiosta {0} </ p>
info report has updates in folders	<p align="center"> Huomio! <br/> Päivityksiä raporttiin löytyy kansioista {0} </ p>
info report ready	Raportti on valmis.
info report ready download	Raportti on valmis. Lataa?
info role name not empty	Anna roolin nimi
info server error	Palvelinvirhe
info site manager change	Jos rakennuspäällikkönä korvaat itsesi toisella henkilöllä, et pysty enää näkemään käyttäjiä. \n\n Tämä toimintoa ei voi peruuttaa!
info synchronizing no open	Lähettämättömiä viestejä synkronoidaan. Viestejä ei voida näyttää tänä aikana.
info task altered	<p align="center">Tehtävä muuttunut<br/>Päivitystä ei ole tehty.<br/>Klikkaa avataksesi raportin</p>
info task not available	<P ALIGN="center">Tämä raportti ei ole käytettävissä</P>
info task offline	<P ALIGN="center">Tämä raportti ei ole käytettävissä offline-tilassa</P>
info task sent update checklist	Tehtävä on lähetetty palvelimelle. Päivitä tarkistuslista avaaksesi syntyneen raportin. 
info too many tasks	Tällä alueella: {0} tehtäviä
info unhandled error	Odottamaton virhe
info user added mail sent	Käyttäjä on nyt luotu.Olemme lähettäneet kutsun sähköpostitse. \n \n Käyttäjä aktivoituu kun sähköpostiosoite on vahvistettu kutsussa olevan sähköpostilinkin kautta..
info user invitation accepted	Käyttäjä luotu ja kutsu hyväksytty
info user not found create?	Käyttäjää ei löytynyt. Haluatko luoda tämän käyttäjän?
info wait synchronizing tasks	Tehtävää ei voi avata, kun Lähtevät-kansiota synkronoidaan. Yritä uudelleen hetken kuluttua.
info wizard new user	Henkilöä ei ole liitetty teidän DaluxQA projektiin. Kutsu lähetetään, kun painat Luo.
Insert	Lisää
Insert comment	Lisää kommentti
Insert text	Lisää tekstiä
Inspection	Valvonta
Inspection note	Valvontamuistiinpano
Instant mails	Sähköposti jokaiselle uudelle tehtävälle
Instructions	Ohjeet
Interval	Intervalli
Invalid password	Virheellinen salasana
invalid_flow	Virheellinen toiminta
invalid_flow_text	Käyttäjän toiminta on virheellinen (onko tehtävää muutettu?)
invalid_user	Virheellinen käyttäjä
invalid_user_text	Käyttäjätiedot tai käyttöoikeudet ovat muuttuneet.
Invitation	Kutsu
Invitation accepted (date)	Kutsu hyväksytty
Invitation sent (date)	Kutsu lähetetty
Invitation to x from y	Kutsu {0} :lle {1} :lta
Invitations	Kutsut
Invite user	Kutsu käyttäjä
Invoice e-mail	Laskutussähköposti
Invoice information	Laskutustiedot
Invoice note	Lasku
Is empty	On tyhjä
Is not empty	Ei ole tyhjä
is_not_available	ei ole käytettävissä
IT Administrators	hallinto
Landscape	makaava
language	fi
Language	Kieli
language (splash screen)	fi
language_code	fi-fi
Last editet	Viimeksi muokattu
Last edited	Viimeksi muokattu
Last modified	Viimeksi muokattu
Last modified by	Viimeksi muokattu
Last name	Sukunimi
Last updated	Viimeksi päivitetty
Last updated by	Viimeksi päivitetty
Last uploaded by	Viimeksi ladattu
last_name	Sukunimi
Less than	Vähemmän kuin
Less than equals	Vähemmän kuin on yhteensä
